PORT BANNATYNE ETTRICKDALE,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS067681,Long,-5.090807,Lat,55.867194,Elevation,160,ft,,,,,,,,,,,,,
Station no,5383,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,8.94,10.2,1.82,4.89,7.28,8,4.82,5.95,4.26,5.72,,,,
February,,,,,,,,3.5,5.09,2.91,0.16,6.26,0.16,5.35,1.1,7,2.84,,,,
March,,,,,,,,5.72,5.16,1.61,2.82,1.51,3.84,3.93,3.24,3.05,4.05,,,,
April,,,,,,,,4.77,2.68,1.1,2.47,2.44,4.94,3.81,3.49,3.83,1.37,,,,
May,,,,,,,,4.88,2.43,3.49,2.52,4.03,2.89,4.12,4.2,1.17,3.12,,,,
June,,,,,,,,5.1,5.87,3.07,3.1,5.99,2.05,3,2.91,3.98,2.17,,,,
July,,,,,,,3.08,4.49,3.64,3.85,4.62,5.22,3.63,4.55,3.36,2.79,5.72,,,,
August,,,,,,,5.61,4.71,4.51,8.11,8.99,2.84,3.9,4.95,4.86,2.68,3.28,,,,
September,,,,,,,4.43,7.06,4.13,2.41,4.45,2.4,5.37,0.86,8.04,5.93,4.42,,,,
October,,,,,,,9.11,6.73,8.88,7.88,8.33,4.73,7.44,3.82,9.63,10.67,6.17,,,,
November,,,,,,,6.7,5.35,8.68,8.09,7.37,8.31,5.13,4.15,2.14,6.33,3.97,,,,
December,,,,,,,4.21,1.06,5.98,11.63,6.42,5.35,6.52,2.91,9.17,5.35,6.4,,,,
Total,,,,,,,,62.31,67.25,55.97,56.14,56.36,53.87,46.27,58.09,57.04,49.23,,,,
,,,,,,,,,,,,,,,,,,,,,
1926 New Gauge and 40 yd move,,,,,,,,,,,,,,,,,,,,,
