"CROOK HILL NO.92",,,,,,,,,,,,
Grid ref,SK185870,Long,-1.723362,Lat,53.379531,,,,,,,
Station no,2690/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.24,7.95,2.44,4.55,3.63,8.45,3.84,5.82,4.07,7.75,,
February,4.89,2.95,2.66,3.11,3.49,1.51,3.56,6.89,0.46,3.91,,
March,6.62,2.53,3.20,3.34,4.29,2.33,4.21,3.22,2.20,2.34,,
April,2.37,3.12,3.38,0.74,1.70,2.07,0.32,1.42,3.81,2.63,,
May,3.09,2.86,2.68,3.68,4.26,0.96,1.57,3.58,1.16,1.97,,
June,1.41,2.42,4.43,2.88,3.32,3.46,1.67,4.64,2.43,1.56,,
July,2.17,2.34,4.21,5.28,1.43,8.68,4.43,5.57,3.18,5.94,,
August,4.87,2.24,5.24,8.41,0.79,8.30,7.77,3.98,0.54,3.98,,
September,3.18,5.55,2.13,5.09,1.80,4.65,8.11,5.39,0.03,4.95,,
October,1.10,7.77,2.03,7.22,3.75,3.49,4.29,3.96,3.50,6.99,,
November,10.84,4.29,3.03,7.85,2.21,2.46,2.86,1.27,5.32,6.45,,
December,6.68,4.48,2.21,9.13,6.92,5.49,6.22,4.90,6.89,5.65,,
Total,53.46,48.50,37.64,61.28,37.59,51.85,48.85,50.64,33.59,54.12,,
Calc annual,53.46,48.50,37.64,61.28,37.59,51.85,48.85,50.64,33.59,54.12,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
