CROOK-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK185870,Long,-1.7233618,Lat,53.379531,Elevation,1100,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2690/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,4.3,,5.66,7.29,5.63,6.17,3.74,9.14,3,3.11,6.24,7.95,2.44,4.55,3.63,8.45,3.84,5.82,4.07,7.75
February,,,,,,,,,,,5.3,,3.82,3.5,6,8.1,4,3.36,2.81,6.76,4.89,2.95,2.66,3.11,,1.51,3.56,6.89,0.46,3.91
March,,,,,,,,,,3.37,6.31,,2.09,0.92,1.49,1.78,7,1.73,1.92,1.84,6.62,2.53,3.2,3.34,4.29,2.33,4.21,3.22,2.2,2.34
April,,,,,,,,,,3.17,2.87,2.37,3.03,2.99,2.32,1.84,3.87,2.08,5.11,4.71,2.37,3.12,3.38,0.74,1.7,2.07,0.32,1.42,3.81,2.63
May,,,,,,,,,,,3.49,4.18,3.22,4.17,3.46,2.69,3.28,1.31,2.75,2.35,3.09,2.86,2.68,3.68,4.26,0.96,1.57,3.58,1.16,1.97
June,,,,,,,,,,0.61,0.84,0.76,3.11,3.31,4.56,4,2.78,5.95,0.79,1.83,1.41,2.42,4.43,2.88,3.32,3.46,1.67,4.64,2.43,1.56
July,,,,,,,,,,3.56,4.06,4.51,1.99,3.79,1.76,3.93,2.61,1.89,2.59,2.61,2.17,2.34,4.21,5.28,1.43,8.68,4.43,5.57,3.18,5.94
August,,,,,,,,,,1.34,5.44,3.39,4.27,3.51,2.44,4.23,0.4,4.72,2.76,3.84,4.87,2.24,5.24,8.41,0.79,8.3,7.77,3.98,0.54,3.98
September,,,,,,,,,,4.01,0.38,2.89,4.95,4.38,2.29,6.18,1.87,2.52,1.67,6.2,3.18,5.55,2.13,5.09,1.8,4.65,8.11,5.39,0.03,4.95
October,,,,,,,,,,4.52,5.57,,2.49,4.99,7.9,1.56,0.99,2.6,4.23,2.3,1.1,7.77,2.03,7.22,3.75,3.49,4.29,3.96,3.5,6.99
November,,,,,,,,,,,3.85,1.76,4.82,7.87,0.55,9.93,6.31,2.65,7.37,6.88,10.84,4.29,3.03,7.85,2.21,2.46,2.86,1.27,5.32,6.45
December,,,,,,,,,,5.19,3.32,,2,4.22,3.56,4.83,7.42,4.65,9.32,1.67,6.68,4.48,2.21,9.13,6.92,5.49,6.22,4.9,6.89,5.65
Total,,,,,,,,,,,45.73,,41.45,50.94,41.96,55.24,44.27,42.6,44.32,44.1,53.46,48.5,37.64,61.28,,51.85,48.85,50.64,33.59,54.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is on Crook Hill. Stated altitude is about 75 ft. too high or gauge is 100m W to match altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan and Feb 1941 and Feb and Mar 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
