"LUTON (STOPOLEY)",,,,,,,,,,,,
Grid ref,TL099237,Long,-0.404064,Lat,51.901015,,,,,,,
Station no,1162/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.41,2.11,1.49,0.87,1.96,,0.97,,,,,
February,4.74,0.82,2.15,1.98,1.80,,2.76,,,,,
March,3.70,2.93,0.85,2.34,1.14,,1.13,,,,,
April,3.08,2.04,2.56,0.39,0.52,,0.24,,,,,
May,2.86,2.02,1.72,2.55,4.30,,1.05,,,,,
June,0.96,0.90,2.20,3.48,2.77,,1.00,,,,,
July,1.98,0.46,3.41,3.12,0.11,,3.64,,,,,
August,4.24,3.43,1.74,3.97,0.77,,,,,,,
September,2.87,3.61,1.34,1.62,1.33,,,,,,,
October,1.15,2.77,2.18,2.01,2.37,,,,,,,
November,4.86,3.99,1.30,4.98,1.17,,,,,,,
December,1.92,3.17,0.55,2.55,2.45,,,,,,,
Total,35.77,28.25,21.49,29.86,20.69,,,,,,,
Calc annual,35.77,28.25,21.49,29.86,20.69,0.00,10.79,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
