LUTON-STOPSLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL099237,Long,-0.404064,Lat,51.901015,Elevation,540,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1162/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.81,0.97,3.62,4.24,2.98,5.3,2.12,2.69,2.76,4.36,1.53,1.93,1.53,1.78,5.66,1.17,0.92,3.41,2.11,1.49,0.87,1.96,,0.97,,,
February,,,,0.66,2.75,2.64,3.74,0.56,0.77,1.94,2.33,1,1.16,0.89,1.62,1.96,1.53,1.09,1.37,4.25,4.74,0.82,2.15,1.98,1.8,,2.76,,,
March,,,,2.33,0.51,1.23,3.51,0.46,1.92,2.79,3.13,1.28,0.56,0.13,0.55,1.15,5.56,1.1,1.29,0.85,3.7,2.93,0.85,2.34,1.14,,1.13,,,
April,,,,1.32,3.24,1.36,2.87,0.1,3.1,1.99,0.97,1.24,1.06,2.26,1.14,0.69,1.89,1.7,1.68,2.25,3.08,2.04,2.56,0.39,0.52,,0.24,,,
May,,,,0.63,2.51,0.63,3.59,1.9,1.67,2.43,2.01,2.86,2.37,0.72,1.85,1.78,1.21,2.05,1.67,2.37,2.86,2.02,1.72,2.55,4.3,,1.05,,,
June,,,,1.26,2.75,4.14,2.28,0.5,2.25,0.64,1.22,0.31,2.61,2.06,1.88,2.33,2.06,3.57,0.6,1.64,0.96,0.9,2.2,3.48,2.77,,1,,,
July,,,,1.13,1.53,4.8,1.35,1.87,2.42,2.69,3.15,2.22,1.16,1.3,1.78,1.82,1.71,1.25,1.87,5.03,1.98,0.46,3.41,3.12,0.11,,3.64,,,
August,,,,1.94,1.82,0.36,1.78,4.21,5.31,0.07,3.95,3.05,1.4,2.02,1.31,3.45,0.02,2.9,1.69,3.22,4.24,3.43,1.74,3.97,0.77,,,,,
September,,,,1.49,3.66,3,2.15,1.66,1.16,0.68,0.65,1.21,1.37,2.27,1.95,2.94,1.45,2.52,0.38,3.31,2.87,3.61,1.34,1.62,1.33,,,,,
October,,,1.57,1.95,2.64,1.71,2.59,2.6,3.94,3.15,1.27,3.37,2.39,3.06,2.49,1.1,0.18,2.97,5.47,0.17,1.15,2.77,2.18,2.01,2.37,,,,,
November,,,1.47,1.79,3.55,3.04,1.7,2.96,4.21,7.39,2.56,1.46,1.03,2.94,1.08,4.22,1.4,1.7,3.44,5.4,4.86,3.99,1.3,4.98,1.17,,,,,
December,,,0.4,4.7,2.76,2.06,3.37,3.19,1.37,1.25,1.14,2.61,1.14,1.18,2.65,2.18,2.85,2.66,1.63,1.68,1.92,3.17,0.55,2.55,2.45,,,,,
Total,,,,21.01,28.69,28.59,33.17,22.99,33.42,27.14,25.07,23.37,20.61,20.36,20.23,25.15,21.64,29.17,22.26,31.09,35.77,28.25,21.49,29.86,20.69,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
