AUSTERFIELD (PUMPING STATION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK661962,Long,-1.005961,Lat,53.458413,Elevation,32,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3111/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.31,1.17,3.2,3.06,1.36,3.97,2.23,3.07,1.95,3.26,2.31,2.2,1.65,1.98,3.58,0.75,0.82,1.62,1.7,0.48,1.22,1.48,3,1.15,1.75,1.81,4.36
February,,,,0.79,2.4,2.25,2.29,0.99,0.81,1.71,2.46,0.89,0.72,1.84,1.45,2.18,1.63,1.34,0.54,3.57,2.36,0.34,1.45,1.91,1.71,0.97,1.3,3.24,0.09,1.71
March,,,2.56,2,0.48,1.17,1.85,0.25,1.63,1.57,3.51,3.1,0.57,0.43,0.52,0.91,3.47,0.56,1.22,0.71,2.17,1.5,0.64,1.39,2.12,0.57,1.27,1.52,0.73,1.33
April,,,0.81,2.72,1.65,1.3,2.83,0.07,1.29,1.9,0.86,0.92,0.9,2.34,1.17,1.17,1.84,1.05,1.74,2.44,0.69,0.6,1.83,0.17,0.79,1.95,0.16,0.26,2.02,0.78
May,,,2.02,1.12,0.49,0.89,3.38,4.02,1.06,0.61,1.5,2.54,2.16,2.03,1.8,1.33,1.47,1.24,1.68,1.91,3.69,1.03,1.86,3.03,2.29,0.38,1.11,1.86,0.39,0.72
June,,,1.93,1.13,4.09,3.6,2.1,1.44,1.68,1.4,0.27,1.02,1.2,1.89,2.13,2.55,2.63,2.35,0.25,1.48,0.88,2.06,1.1,1.38,2.58,3.57,1.87,4.61,0.49,0.66
July,,,1.43,1.02,0.6,5.23,2.25,3.13,4.11,3.47,3.68,1.55,0.98,2.1,1.72,2.42,1.41,1.18,3.49,1.92,0.98,1.16,2.25,2.1,0.65,2.77,4.7,5.01,1.17,2.22
August,,,0.43,1.12,1.65,1.4,0.19,2.25,2.99,0.51,2.11,3.36,2.06,3.17,1.94,4.68,0.38,3.53,1.36,2.21,4.55,0.76,2.28,5.5,0.23,5.11,3.49,1.66,0.41,2.88
September,,,1.63,1.3,3.67,1.63,1.38,1.66,0.57,0.68,0.51,1.68,2.33,4.15,1.24,2.84,1.11,1.33,0.48,2.55,1.56,1.95,1.02,1.49,0.82,1.47,3.22,1.43,0.02,2.28
October,,,4.29,1.23,3.02,1.78,2.8,2.32,2.28,3.48,2.43,1.88,1.4,2.2,2.41,0.94,0.73,1.3,3.27,0.68,1.02,2.16,1.84,2.78,1.52,1.17,1.07,1.47,1.66,4.95
November,,,1.95,2.04,3.8,2.43,1.45,1.91,3.25,4.86,2.98,1.44,1.56,3.29,0.32,4.29,1.08,1.02,2.71,3.52,4.63,1.49,1.02,3.93,1.47,0.66,2.26,0.58,2.43,2.97
December,,,0.35,3.53,2.45,1.25,3.95,3.01,2.3,2.12,0.42,1.39,0.63,1.3,1.26,2.25,1.91,2.4,1.5,1.36,1.12,1.26,1.11,1.65,1.79,1.77,1.5,2.49,2.26,1.79
Total,,,,19.31,25.47,26.13,27.53,22.41,25.94,24.54,23.8,21.72,17.77,27.05,18.16,27.21,19.64,20.88,18.99,23.17,25.27,16.01,16.88,26.55,17.45,23.39,23.1,25.88,13.48,26.65
