MAUCHLINE (BARSKIMMING GARDENS),,,,,,,,,,
Grid ref,NS482252,Long,-4.404567,Lat,55.496937,Elevation,270,ft,,
Station no,"""5256/1/5""",,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.83,2.61,3.21,5.16,3.78,,
February,,,,2.9,1.71,1.51,2.29,,,
March,,,,2.2,1.54,2.32,4.57,,,
April,,,,1.42,2.94,1.02,2.51,,,
May,,,,2.57,3.88,1.97,2.27,,,
June,,,,4.33,2.73,2.94,2.78,,,
July,,,,6.58,1.7,5.64,5.57,,,
August,,,,5.39,2.06,7.29,5.28,,,
September,,,,6.13,5.14,4.03,3.76,,,
October,,,3.1,10.01,2.73,3.92,5.56,,,
November,,,7.45,6.19,2.01,2.4,2.58,,,
December,,,4.74,6.8,6.84,5.48,4.31,,,
Total,,,,59.35,35.89,41.73,46.64,,,
