"FRIZINGTON, PARKSIDE MINES",,,,,,,,,,,,,,,,,,,,
Grid ref,NY035157,Long,-3.4926011,Lat,54.527357,Elevation,320,ft,,,,,,,,,,,,
Station no,RR7613,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,4.82,4.19,1.86,4.98,1.38,3.86,,,,,2.83,,,,,,
February,,,,6.18,2.91,2.61,2.78,1.99,2.14,,,,,2.26,,,,,,
March,,,,8.07,3.38,4.3,2.17,4.61,3.6,,,,,4.19,,,,,,
April,,,,1.9,3.48,4.84,1.89,4.18,0.86,,,,,4.06,,,,,,
May,,,,3.57,2.88,4.59,6.31,4.43,3.13,,,,,4.71,,,,,,
June,,,,2.66,1.08,2.26,2.6,7.99,2.06,,,,,2.82,,,,,,
July,,,,6.03,3.19,3.55,2.84,2.62,4.79,,,,,0.59,,,,,,
August,,,,5.67,5.17,3.63,6.06,5.43,5.05,,,,,2.64,,,,,,
September,,,,6.2,3.44,3.08,0.46,0.92,5.53,,,,,2.63,,,,,,
October,,,,9.06,3.19,3.34,5.84,9.95,1.71,,,,,4.51,,,,,,
November,,,,4.06,3.47,4.55,4.08,4.76,4.22,,,,,3.9,,,,,,
December,,,,3.69,5.79,3.5,3.2,8.02,4.95,,,,,3.47,,,,,,
Total,,,,61.91,42.17,42.11,43.21,56.28,41.9,,,,,38.61,,,,,,
,,,,,,,,,,,,,,,,,,,,
1913 gauge moved about 200m SW to 50yds from station,,,,,,,,,,,,,,,,,,,,
