ASHFORD-EAST-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,TR014427,Long,0.87815916,Lat,51.148117,Elevation,126,ft,,,,,,,,,,,,
Station no,RR6875,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,5.66,3.44,1.83,4,1.31,6.24,1.74,2.86,0.33,,,,,,,,,
February,,,1.21,2.24,1.27,0.74,3.13,2.23,1.75,4.33,3.14,,,,,,,,,
March,,,2.28,1.88,0.69,0.84,2.96,3.36,1.23,0.94,0.66,,,,,,,,,
April,,,1.4,1.04,2.09,0.84,1.83,2.45,2.36,3.33,1.58,,,,,,,,,
May,,,2.97,1.8,1.87,1.64,1.59,2.16,4.09,3.8,0.39,,,,,,,,,
June,,,1.99,2.27,2.22,2.61,1.58,2.01,1.88,3.63,2.58,,,,,,,,,
July,,,2.09,1.4,0.97,5.29,0.47,3.54,1.57,3.95,2.63,,,,,,,,,
August,,,1.48,1.82,2.19,2.24,2.35,2.43,4.43,3.95,2.1,,,,,,,,,
September,,,1.99,2.46,3.06,2.32,3.34,1.08,1.3,2.97,3.2,,,,,,,,,
October,,,4.72,4.03,2.87,5.03,1.46,3.41,3.4,1.1,8.85,,,,,,,,,
November,,,7.26,2.18,2.38,6.91,3.11,7.26,5.12,1.09,4.31,,,,,,,,,
December,,,5.77,0.74,2.66,2.46,5.8,3.13,2.46,1.04,3.25,,,,,,,,,
Total,,,38.82,25.3,24.1,34.92,28.93,39.3,31.33,32.99,33.02,,,,,,,,,
