HOCKLIFFE-LYNDHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP970269,Long,-0.590594,Lat,51.932169,Elevation,241,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.42,1.2,1.37,0.85,3.17,3.33,2.96,4.33,2.16,2.53,2.31,3.69,1.39,2.41,1.49,1.14,4.33,0.78,0.82,2.88,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0.15,2.72,0.36,2.85,2.35,3.88,0.7,0.66,1.59,1.89,0.83,0.93,1.14,1.56,2.32,1.61,0.91,1.04,3.05,3.58,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.8,2.14,1.79,0.57,1.38,3.24,0.32,2.01,2.56,3.19,1.23,0.61,0.22,0.7,1.33,4.92,0.62,1.34,0.72,3.26,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,2.08,1.25,1.4,2.98,1.4,3.04,0.06,3.67,1.81,1.35,1.04,1.08,1.97,1.08,0.9,1.71,1.26,1.53,2.33,2.45,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,5.44,1.96,0.45,1.98,1.33,3.87,1.64,1.3,1.59,2.2,2.57,2.4,0.88,2.08,2.32,0.93,2.96,2.14,4.52,2.18,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,0.72,1.44,1.04,3.01,4.91,2.06,0.73,3.02,0.97,1.17,0.45,2.32,1.66,2.24,3.41,1.38,3.6,0.66,1.4,1.05,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,4.04,1.69,1.28,1.8,6.03,2.13,2.54,1.6,1.96,2.84,2.5,0.76,1.85,2.07,2.11,3.22,1.98,1.88,4.87,2.12,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,4.34,0.74,2.11,2.17,0.27,1.06,3.95,4.05,0.06,4.47,1.57,2.02,2.17,1.71,3.34,0.16,2.07,2.14,3.19,3.54,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,2.32,2.44,1.95,3.4,3.2,1.85,1.17,0.48,0.48,0.77,0.78,1.1,2.1,2.04,4.38,1.18,1.97,0.93,2.32,2.12,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,0.53,4.35,1.3,2.05,3.62,1.73,2.85,3.19,3.55,2.31,1.41,2.82,2.24,3.35,3.16,1.42,0.15,2.54,5.04,0.4,1.42,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
