"HOCKLIFFE (LYNDHURST)",,,,,,,,,,,,
Grid ref,SP970269,Long,-0.590594,Lat,51.932169,,,,,,,
Station no,1164,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.88,1.37,,,,,,,,,,
February,3.58,0.79,,,,,,,,,,
March,3.26,2.94,,,,,,,,,,
April,2.45,1.79,,,,,,,,,,
May,2.18,2.08,,,,,,,,,,
June,1.05,0.96,,,,,,,,,,
July,2.12,0.57,,,,,,,,,,
August,3.54,2.57,,,,,,,,,,
September,2.12,2.68,,,,,,,,,,
October,1.42,3.13,,,,,,,,,,
November,5.04,3.13,,,,,,,,,,
December,1.89,2.77,,,,,,,,,,
Total,31.53,24.78,,,,,,,,,,
Calc annual,31.53,24.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
