UP-OTTERY-BEACON-HILL,,,,,,,,,,
Grid ref,ST207089,Long,-3.12842,Lat,50.8741,Elevation,738,ft,,
Station no,1825/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.69,5.71,5.51,3.62,4.19,6.35,4.58
February,,,,4.19,3.86,0.31,5.48,5.06,0.46,5.47
March,,,,5,1.91,2.11,3.78,2.01,5.44,3.38
April,,,,0.49,1.59,1.45,0.24,1.29,3.8,3.91
May,,,,3.01,4.69,0.65,2.63,3.68,0.94,2.14
June,,,,4.04,5.01,1.77,2.84,3.48,2.09,1.28
July,,,,3.37,2.25,3.46,3.95,3.08,2.41,5.24
August,,,,4.51,0.56,4.29,4.95,4.1,1.74,4.75
September,,,,4.44,1.93,7.52,4.43,5.94,0.11,6.9
October,,,,3.92,2.37,2.24,2.44,3.27,3.9,12.08
November,,,,10.33,7.22,1.24,2.26,3.02,9.09,5.19
December,,,,4.31,8.05,8.47,5.53,5.9,10.6,4.36
Total,,,,50.3,45.15,39.02,42.15,45.02,46.93,59.28
,,,,,,,,,,
Area called Beacon Hill Assuming continues as Yewtree Cottage record after 1960 does match elevation,,,,,,,,,,
1954 Record marked Not printed Thought to be big but this due to uncertainty of location of station,,,,,,,,,,
1955 Dec 10 MO gauge installed in new position 8yds SSW of old copper funnel with bottle gauge,,,,,,,,,,
1955 Not printed Monthly totals reasonable but readings made at midnight (GMT) until Jan 1 1956 when standard 9am obs adopted Gauge unorthodox,,,,,,,,,,
1960 Jan 19 Beacon Hill added to station name at request of observer Altitude an estimate,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Upottery Yew Tree SRC_ID 8122,,,,,,,,,,
1954-2000,,,,,,,,,,
