BARNSLEY (Water Works),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE346079,Long,-1.4777,Lat,53.5673,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.59,1.36,0.7,2.05,0.76,3.29,1.82,1.14,0.19,,0.95,3.2,3.24,1.14,,2.14,0.61,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.08,0.85,1.01,1.23,2.01,2.47,0.99,2.2,1.97,,1.04,2.34,1.61,2.75,,0.49,1.35,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,2.06,2.47,0.96,0.56,3.29,2.72,0.65,1.09,2.7,,1.94,1.35,1.72,1.78,,1.62,3.17,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,3.78,0.62,1.24,0.47,1.87,3.47,1.61,3.26,1.6,,3.58,3.16,2.03,1.42,,0.41,2,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.46,1.62,0.53,1.04,0.88,3.32,3.06,1.96,2.45,,0.97,1.05,0.86,1.82,,1.89,0.44,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,5.65,0.95,0.26,3.31,2.87,1.58,2.13,4.35,3.41,,3.59,3.15,1.2,2.77,,0.23,1.99,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,7.59,1.87,1.11,5.35,0.96,2.18,0.89,3.48,5.73,,2.82,3.51,2.45,0.44,,0.95,4.48,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.25,1.63,1.71,3.84,1.85,4.14,6,4.63,1.86,,1.76,0.91,1.75,0.94,,1.29,1.64,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,3.65,1.95,2.16,2.26,4.26,4.34,2.02,1.19,4.72,,2.33,5.14,0.96,1.84,,2.72,1.14,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,4.34,1.11,2.24,5.1,2.17,2.42,2.11,0.97,6.39,,4.94,3.19,1.07,6.09,,2.44,0.76,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,3.48,2.36,2.54,3.41,3.6,1.89,2.21,1.33,1.7,,3.25,2.51,0.91,2.21,,1.58,5.75,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,3.48,0.2,1.89,0.84,5.95,2.29,1.61,1.1,3.28,,4.43,0.78,1.94,0.5,,1.46,1.84,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,43.41,16.99,16.35,29.46,30.47,34.11,25.1,26.7,36,,31.6,30.29,19.74,23.7,,17.22,25.17,23.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
