EVANTON SWORDALE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH571655,Long,-4.39657,Lat,57.656653,Elevation,520,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.2,4.6,2.1,3.2,-999,3.5,4.4,5.5,2.2,2.5,4.9,1.4,3.2,4.6,2.7,3,,3.5,1.5,0.8,,,3,,,,
February,,,,3.6,7.1,0.5,-999,-999,2.7,1.3,2.2,5,0.6,4,3.1,4.8,5,2.8,2.8,,1.2,3.5,0.5,,,2,,,,
March,,,,1.9,3.3,4.2,-999,-999,3.2,-999,-999,2.4,2.2,3.1,0.5,3.6,2.8,2.2,2.15,,0.8,1.55,1.65,,,1.2,,,,
April,,,,1.9,0.2,1.3,1.5,0.6,2.6,-999,-999,0.8,1.1,2.7,4.5,2.1,2.3,1.1,0.5,,3.5,1.85,1.35,,,2.8,,,,
May,,,,1,3,0.8,0.8,2.1,2.3,1.9,1.1,1.7,2,1.9,2.1,2.6,4,2.3,1.6,,2.2,2,1,,,0.7,,,,
June,,,,0.9,3.5,3.7,3.4,1.5,1.3,1,2.1,2.5,2.6,2.4,1,0.5,0.4,3.9,,,0.5,1,2.55,,,0.3,,,,
July,,,,1.7,3.2,3.6,3.2,1.2,0.6,2.5,3.9,2.4,2,4.8,0.9,1.7,2.7,0.8,1.9,,3.5,0.8,1.55,,,3.5,,,,
August,,,,2,2.8,3.1,1.2,2.2,3.1,1,3.4,2.5,1.3,4.1,3,3.4,2.7,2.2,0.3,,4.2,0.5,,,,2,,,,
September,,,,3.2,0.1,1.5,4.1,2,2.4,6,2.1,1.4,1.3,1.8,1.7,2.4,1.4,0.2,6.3,,0.15,1.8,1.55,,,4,,,,
October,,,,4.9,1.3,3.7,5.5,2,2.6,1.6,3.4,2.7,1.3,6.8,1.7,3.5,3.7,1.7,0.4,,0.9,2.85,2.15,,,1.5,,,,
November,,,,4.4,0.6,1.8,0.71,3,3.7,4.3,3.8,2.2,1.1,3.8,2.5,4.2,3.8,2.6,1.2,,0.1,4.5,4.4,,,3,,,,
December,,,,3.6,3.3,6.8,3.91,3.1,8.9,4.3,7.2,3.5,4.5,1.3,4,1.9,2.5,2.9,1.8,,2,2.3,4.5,,,6,,,,
Total,,,,31.3,33,33.1,32.12,23.1,36.9,36.1,40.2,29.3,22.5,41.6,26.4,33.9,35.9,25.4,,,22.55,24.15,,,,30,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896 Feb Mar Bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897 JFM Bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899 Mar Apr Bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900 Mar Apr Bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 Bad NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
