CARRICKFERGUS SOUTH WOODBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW515442,Long,-5.861009,Lat,54.731747,Elevation,640,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.97,2.77,3.44,4.49,1.92,3.45,2.75,4.11,3.09,2.33,1.67,2.51,4.38,4.25,2.82,2.75,5.43,3.47,1.93,5.43,2.23,3.36,2.62,2.66,1.28,4.41,4.69,2.21,3.3,3.23,2.85,3.34,4.7,4.86,5.71,3.79,4.78,4.1,3.94,6.47,3.45,6.43,2.28,4.08,4.49,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.61,0.83,3.21,1.69,0.36,1.31,4.24,4.34,0.9,2.96,2.75,3.11,3.32,4.12,1.82,2.66,2.68,4.48,2.09,2.69,1.99,2.47,3,5.3,3.02,4.39,1.57,2.93,4.05,3.6,2.31,4.21,2.27,2.54,0.85,3.75,5.63,1.34,5.31,5.09,2.42,3.35,3.09,0.48,3.44,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.38,4.6,3.19,3.03,2.47,0.62,1.4,2.05,4.91,4.06,4.86,1.07,2.73,0.87,2.76,2.48,5.49,2.76,3.49,2.35,4.57,4.6,3.72,2.19,1.71,4.11,2.82,3.64,1.11,2.09,2.16,1.28,5.03,2.81,2.86,1.39,1.47,2,1.62,1.2,2.7,4.54,0.59,2.39,1.45,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,2.05,1.69,3.4,2.14,2.52,1.19,1.58,2.01,2.84,1.38,2.65,3.75,4.64,3.75,3.41,2.27,2.01,2.94,2.83,2.66,2.77,3.74,5.47,2.7,2.64,1.61,3.45,1.45,2.33,4.08,1.81,1.69,1.48,3.17,1.09,3.44,3.75,3.13,4.55,3.14,2.14,2.09,1.79,1.33,2.91,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.04,3.88,2.38,2.34,3.22,5.17,1.65,4.07,0.48,0.9,2.15,3.51,4.85,4.08,2.01,3.37,3.51,3.83,2.32,6.64,4.91,3.06,1.98,2.67,2.42,1.79,3.48,1.77,1.4,6.86,5.57,2.89,1.46,3.88,2.6,2,1.8,5.08,6.56,2.72,1.77,1.31,3.21,2.07,4.63,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,0.66,4.49,0.64,5.07,1.7,4.72,2.3,4.02,2.19,4.25,6.82,3.56,3.28,5.38,3.67,2.53,2.76,1.79,3.72,1.28,5.91,3.56,3.14,3.61,2.18,8.13,2.79,1.63,1.71,2.67,2.63,1.9,2.46,3.58,0.41,2.53,1.04,3.66,0.74,2.32,4.97,5.69,3.4,2.07,6.79,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,3.24,7.59,3.39,2.96,2.07,2.89,3.26,4.76,3.5,7.16,2.6,1.07,3.29,3.43,1.23,3.7,5.32,3.71,1.76,4.42,3.16,3.88,4.47,5.16,2.08,4.54,2.27,2.48,6.02,1.52,2.92,4.07,0.55,3.25,4.35,4.07,3.64,5.7,3.99,4.42,4.23,2.28,3.27,5.71,4.32,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.87,4.06,8.33,3.91,5.92,6.42,5.66,2.8,4.82,2.64,6.2,5.56,1.72,6.12,4.74,3.94,5.25,6.2,9.22,5.72,4.48,3.14,2.96,6.16,2.2,7.54,0.98,4.48,5.01,2.05,5.21,4.53,4.43,3.62,3.45,4.62,6.97,5.54,2.43,4.68,3.27,4.85,7.01,7.27,3.96,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,5.2,1.92,3.18,3.48,2.85,2.52,2.41,0.26,0.44,5.15,3.11,4.6,3.12,2.9,4.47,5.45,4.18,5.03,2.6,1.41,1.49,4.81,2.93,1.37,1.54,1.91,4.27,1.42,0.79,0.85,1.48,4.79,3.37,3.62,2.12,4.43,4.6,5.99,3.92,2.83,5.51,2.36,1.14,5.17,2.68,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.65,1.6,3.93,2.49,4.25,5.43,3.05,6.76,4.46,3.37,3.19,4.96,2.23,5.43,4.32,2.08,8.18,1.49,2.79,7.03,5.38,3.04,6.65,2.48,3.96,3.82,4.18,1.81,3.41,7.15,4.85,3.93,2.2,6.85,4.31,1.77,5.02,2.78,4.02,5.08,3.96,8.07,4.74,6.19,2.26,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
