CARRICKFERGUS SOUTH WOODBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW508444 ,Long,-5.872108,Lat,54.733141,Elevation,640,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.19,4.35,4.41,3.35,2.64,3.42,2.14,6.01,5.44,4.91,5.04,4.35,2.71,7.73,6.39,4.81,5.45,5.55,4.41,8.9,3.83,2.46,4.25,4.25,1.53,3.75,4.73,3.66,4.72,4.75,3.44,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,3.03,0.54,3.07,0.18,3.57,0.45,5.14,3.6,7.46,1.87,4.25,3.14,3.87,2.39,2.75,1.69,5.04,3.83,0.54,3.21,3.06,4.47,3.7,1.21,1.03,3.84,4.82,1.34,2.7,5.27,1.38,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.58,2.52,1.51,2.19,2.49,2.56,1.54,3.1,2.99,1.52,5.46,5.02,3.97,3.15,1.04,0.93,1.98,2.35,6.36,2.57,3.21,2.23,3.71,1.88,0.42,4.45,1.62,1.8,4.11,2.82,3.1,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.73,1.36,2.98,3.69,1.99,5.17,3.3,1.46,2.4,0.54,3.56,5.53,2.64,2.47,3.25,2.83,2.57,1.26,5.33,2.54,3.6,5.42,1.84,2.44,3.05,1.21,2.83,1.57,1.46,2.68,3.09,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.27,2.18,4.71,2.41,3.39,4.06,1.12,2.24,1.5,3.69,1.1,1.88,2.87,4.06,5.48,2.34,5.24,1.65,4.47,1.97,2.47,1.98,3.18,1.34,2.49,4.9,3.45,1.72,2.99,3.22,1.42,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,3.33,2.16,6.07,2.71,3.12,2.37,4.31,4.46,3.02,4.68,3.12,1.51,0.57,0.8,5.2,3.46,5.25,4.75,5.12,5.96,0.83,2.39,2.22,3.3,2.08,4.02,5.92,3.11,1.8,5.72,2.62,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.22,5.82,4.57,4.29,4.28,2.93,1.91,7.93,4.39,4.75,5.76,5.76,5.92,4.89,2.19,5.81,5.07,4.11,4.52,3.36,3.04,6.67,3.55,2.62,6.48,5.12,1.39,4.31,4.08,5.83,4.03,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,7.17,7.56,3.89,4.2,2.92,6.15,1.5,4.39,4.32,2.73,2.57,1.24,5.87,7.43,8.28,2.58,1.56,6,0.28,5.44,4.33,6.94,4.77,5.78,3.63,3.71,1.31,7.54,4.44,4.92,1.52,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.23,5.32,2.38,4.28,1.32,5.8,4.61,4.82,2.97,3.65,3.03,2.72,2.32,6.27,3.64,7.22,4.31,7.19,3.6,6.22,3.21,8.2,2.99,2.64,2.92,5.36,5.13,4.04,7.22,4.55,1.95,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,4.98,6.51,2.42,4.36,3.97,5.94,6.45,3.66,3.6,8.15,3.57,6.66,6.78,4.98,4.04,5.64,4.45,2.02,2.46,4.23,9.61,3.39,1.09,4.32,2.26,7.61,4.07,2.93,4.07,2.49,4.51,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
