"ACHTERNEED, GLEN SKIACH",,,,,,,,,,,,
Grid ref,NH458608,Long,-4.582741,Lat,57.610752,,,,,,,
Station no,RR8110,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,4.89,6.36,4.20,,4.24,,
February,,,,,,5.79,4.32,2.97,,2.63,,
March,,,,,,4.25,3.24,4.18,,2.41,,
April,,,,,,2.00,3.54,2.31,1.63,4.02,,
May,,,,,,2.00,5.25,4.11,1.64,2.90,,
June,,,,,,2.34,1.22,4.08,1.53,3.09,,
July,,,,,,2.32,3.70,2.93,0.73,2.68,,
August,,,,,,3.52,3.90,3.97,1.67,1.84,,
September,,,,,,2.97,1.97,1.24,3.66,1.54,,
October,,,,,1.89,3.78,5.88,1.42,0.49,4.55,,
November,,,,,3.43,4.29,6.16,1.02,3.79,3.82,,
December,,,,,4.57,2.17,3.94,2.70,,2.84,,
Total,,,,,,40.32,49.48,35.13,,36.56,,
Calc annual,0.00,0.00,0.00,0.00,9.89,40.32,49.48,35.13,15.14,36.56,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,NaN,0.00,,
