"ACHTERNEED, GLEN SKIACH",,,,,,,,,,,,,,,,,,,,
Grid ref,NH458608,Long,-4.582741,Lat,57.610752,Elevation,458,ft,,,,,,,,,,,,
Station no,RR8110,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,4.89,6.36,4.2,,4.24,,2.47,2.4,1.53,,0.65,6.16,2.74,3.73,
February,,,,,,5.79,4.32,2.97,,2.63,5.7,6.65,2.32,1.86,,2.99,3.74,1.07,3.72,
March,,,,,,4.25,3.24,4.18,,2.41,2.18,2.99,3.74,3.44,,2.21,2.39,1.84,1.61,
April,,,,,,2,3.54,2.31,1.63,4.02,3.93,3.15,3.7,2.16,,4.1,5.57,3.75,0.76,
May,,,,,,2,5.25,4.11,1.64,2.9,3.29,1.44,1.94,2.31,,0.73,4.41,1.4,2.65,
June,,,,,,2.34,1.22,4.08,1.53,3.09,1.08,2.34,3.91,3.84,,0.75,3.53,2.15,2.29,
July,,,,,,2.32,3.7,2.93,0.73,2.68,7.18,2.87,2.43,1.39,,4.43,3.73,1.73,4.94,
August,,,,,,3.52,3.9,3.97,1.67,1.84,7.11,2.15,3.49,1.08,,2.03,3.52,4.23,3.54,
September,,,,,,2.97,1.97,1.24,3.66,1.54,1.52,3.1,2.44,1.55,,2.68,3.71,2.76,5.18,
October,,,,,1.89,3.78,5.88,1.42,0.49,4.55,1.98,4.52,2.03,1.68,,1.97,5.49,4.77,2.69,
November,,,,,3.43,4.29,6.16,1.02,3.79,3.82,8.38,6.5,3.33,5.36,,2.19,4.32,8.11,2.32,
December,,,,,4.57,2.17,3.94,2.7,,2.84,5.2,8.04,7.14,6.78,,4.43,4.68,2.27,3.81,
Total,,,,,,40.32,49.48,35.13,,36.56,,46.22,38.87,32.98,,29.16,51.25,36.82,37.24,
,,,,,,,,,,,,,,,,,,,,
BR 1907 P with ?,,,,,,,,,,,,,,,,,,,,
BR 1909 P Dec estd,,,,,,,,,,,,,,,,,,,,
BR 1910 NP Unreliable,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Modern Address Glensgaich, Fodderty",,,,,,,,,,,,,,,,,,,,
https://her.highland.gov.uk/monument/MHG55845,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8110,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
