LANGSETT MOOR (MIDHOPE) - new gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK219994,Long,-1.671394,Lat,53.490858,Elevation,823,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3150/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.32,4.48,2.94,4.55,7.37,7.22,6.44,3.7,4.21,3.91,6.85,7.91,4.94,6.41,4.37,11.4,2.43,2.74,4.96,6.29,1.44,4.08,3.45,6.73,3.38,5.13,5.11,7.71
February,,,6.03,0.27,7.67,4.26,7.28,2.24,4.18,3,4.72,1.48,3.81,2.87,5.63,7.03,3.5,4.17,3.2,8.2,5.41,1.56,2.66,4.04,3.76,1.61,3.74,6.72,0.21,3.53
March,,3.57,2.8,4.68,2.03,3.71,3.78,0.88,4.05,3.52,6.62,2.49,1.89,0.76,1.35,2.1,7.49,1.96,1.45,2.16,5.97,2.49,2.95,3.14,3.7,2.22,2.97,3.25,2.09,3.1
April,,5.66,1.43,3.36,3.38,2.04,2.85,0.42,2.6,4.37,2.68,2.81,3.58,2.99,2.85,2.2,5.09,2.95,4.29,5.07,2.32,2.38,3.75,0.64,1.37,3.44,0.21,1.1,6.01,2.59
May,,6.97,2.32,2.17,0.58,1.72,3.42,3.59,2.66,0.92,3.11,4.69,3.58,3.72,4.39,3,3.16,2.03,2.96,2.75,4.54,2.65,2.72,4.73,5.02,0.92,1.48,4.06,1.11,2.06
June,,0.67,2.53,1.41,3.42,4.66,1.39,3.33,3.06,0.84,1.03,1.31,2.53,2.28,3.44,4.61,3.28,5.62,0.66,1.17,1.08,2.16,3.51,2.26,3.49,4.39,1.04,5.3,2.33,1.47
July,,4.25,2.75,2.18,1.58,3.95,2.62,4.96,6.47,3.95,2.49,4.06,1.84,3.01,1.87,3.5,1.98,1.33,4.59,2.14,2.63,2.23,3.46,2.72,0.98,8.06,3.18,5.3,2.77,4.78
August,,2.52,0.78,2.22,2.23,1.39,0.84,2.8,2.26,1.04,4.53,5.03,3.95,3.85,3.66,4.24,0.43,5.97,2.43,3.57,5.29,2.68,3.81,6.24,1.03,7.74,5.97,3.73,1.09,4.3
September,,2.94,2.21,2.8,6.18,4.91,1.78,2.95,2.31,3.31,0.36,2.35,4.61,5.16,2.16,6.68,1.88,2.01,1.71,5.42,2.91,4.52,2.42,4.11,1.26,4.01,5.26,4.96,0.09,4.14
October,,7.17,5.58,4.55,10.6,4.89,3.95,10,3.98,5.85,5.58,4.75,2.52,4.93,7.52,1.78,1.14,2.31,4.73,2,0.87,7.62,2.27,5.86,3.31,2.64,4.05,3.36,3.71,8.65
November,,4.4,2.47,2.99,8.44,7.13,2.68,6.3,8.38,10.3,4.64,1.82,3.9,8.59,0.65,10.28,5.84,1.71,7.8,7.1,11.07,2.63,3.29,8.79,2.7,2.13,3.21,1.22,6.03,6.52
December,,1.87,0.59,5.84,4.29,5,3.99,4.87,4.37,5.05,2.51,4.15,2.8,5.2,3.56,5.07,5.65,5.13,9.52,2.56,8.53,3.55,1.85,7.1,5.97,5.52,5.83,5.51,8.83,6.4
Total,,,33.81,36.95,53.34,48.21,41.95,49.56,50.76,45.85,42.48,38.85,41.86,51.27,42.02,56.9,43.81,46.59,45.77,44.88,55.58,40.76,34.13,53.71,36.04,49.41,40.32,49.64,39.38,55.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1932 Jan 4.5, Feb 0.75 and total estimated so omitted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 total mistranscription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
