"MINEHEAD (BLENHEIM GARDENS)",,,,,,,,,,,,
Grid ref,SS971464,Long,-3.474400,Lat,51.207508,,,,,,,
Station no,2100,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.64,3.97,0.68,1.98,3.58,3.59,2.40,2.83,4.39,4.26,,
February,4.42,1.20,1.57,3.46,2.67,0.13,5.36,4.24,0.20,3.60,,
March,3.04,1.92,0.92,3.96,0.91,1.18,2.25,0.79,2.61,1.74,,
April,3.63,3.12,2.84,0.33,1.01,1.41,0.10,0.68,3.50,2.47,,
May,2.75,3.70,2.07,1.67,4.64,0.56,1.38,2.87,0.85,1.18,,
June,0.68,1.65,2.12,3.02,3.28,1.15,1.47,3.44,1.70,1.63,,
July,1.17,1.93,2.82,2.50,0.96,3.07,2.56,2.03,2.43,3.61,,
August,2.82,4.87,3.16,3.06,0.57,3.37,2.28,2.75,4.62,2.80,,
September,2.23,3.48,4.76,3.74,1.60,4.77,4.08,4.87,0.14,4.39,,
October,1.33,4.41,2.56,3.15,1.74,2.14,2.57,2.76,4.32,10.68,,
November,6.46,4.92,2.20,7.70,3.32,0.79,2.65,2.39,5.79,4.90,,
December,3.46,3.13,1.42,3.36,5.89,4.42,1.75,3.69,7.83,5.70,,
Total,35.63,38.30,27.12,37.93,30.17,26.58,28.85,33.34,38.38,46.96,,
Calc annual,35.63,38.30,27.12,37.93,30.17,26.58,28.85,33.34,38.38,46.96,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
