ALTON-ASHDELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU721391,Long,-0.9694,Lat,51.1472,Elevation,396,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4.5,3.8,5.48,4.65,2.07,2.76,7.41,5.56,2.25,4.63,1.25,6.88,1.45,3.87,0.81,1.28,2.06,3.76,4.49,3.36,4.33,2.6,1.29,1.27,4.49,3.54,0.93,2.36,4.31,2.79,1.31,2.28,0.57,4.18,3.86,1.55,1.12,3.24,6.1,0.97,7.23,1.27,2.62,1.12,3.32,,,,,,,,,
February,,,,,,,4.5,2.75,2.12,3.28,3.09,1.67,2.75,1.72,3.44,2.34,4.29,1.78,2.3,4.49,4.18,2.83,2.59,6.61,3.01,4.14,0.42,0.99,0.79,2.31,0.67,0.11,1.16,4.94,2.5,0.11,0.55,3.65,1.53,3.68,6.34,2.4,1.17,2.34,4.36,1.2,3.11,2.01,1.39,0.45,4.88,,,,,,,,,
March,,,,,,,2.93,3.47,2.08,1.76,2.5,1.95,2.83,2.8,0.71,1,3.76,3.11,1.16,0.55,1.4,2.41,1.51,1.21,2.55,1.94,2.24,2.32,4.35,3.13,1.93,2.92,1.22,0.42,2.16,1.96,4.32,6.04,0.89,1.11,0.94,2.85,2.36,5.11,1.63,6.28,1.5,1.32,3.95,4.85,,,,,,,,,,
April,,,,,,,2.62,3.65,2.79,1.37,0.48,4.65,1.58,0.59,3.44,1.39,3.05,3.34,2.65,2.68,2.15,0.45,3.85,1.26,1.65,1.63,2.23,1.66,1.76,2.54,2.39,0.95,0.88,0.06,2.21,2.22,0.38,1.77,1.85,3.1,1.43,2.57,1.54,2.54,1.7,1.55,0.85,4.62,3.07,2.26,,,,,,,,,,
May,,,,,,,2,1.15,1.3,4.32,1.8,0.34,3.08,1.69,0.58,2.04,0.6,2.76,3.95,3.81,0.19,1.16,1.92,1.74,0.76,4.92,3.63,1.9,2.7,3.51,1.99,2.93,0.7,1.05,2.21,2.27,0.33,1.51,3.6,1.2,2.09,0.66,2.71,3.49,3.58,0.86,1.73,2.12,2.67,1.81,,,,,,,,,,
June,,,,,,,2.75,1.67,0.5,1.81,0.38,3.28,3.97,1.48,2.34,4.8,1.74,0.68,1.18,6.4,2.16,1.92,3.31,2.11,2,2.02,0.73,0.82,2.22,0.92,2.52,1.22,1.6,0.82,2.4,0.54,3.92,2.53,2.06,2.03,3.02,1.94,4.26,4.06,0.98,5.11,2.18,2.93,0.95,5.17,,,,,,,,,,
July,,,,,,,1.76,5.01,1.4,1.24,0.44,4.81,2.59,2.59,1.02,6,0.93,5.78,1.84,3.89,4.96,2.01,3.3,2.28,2.37,0.22,2.26,0.92,4.85,1.8,3.31,2.77,2.54,2.77,5.36,4.9,0.92,0.87,0.49,0.94,1.74,2.8,1.08,3.71,1.26,0.24,0.46,1.55,2.32,2.97,,,,,,,,,,
August,,,,,,,2.17,2.28,3.91,1.47,1.59,1.69,2.55,2.7,3.44,1.76,3.43,4.51,4.25,5.92,1.32,5.91,1.85,1.14,2.41,1.22,1.43,2.5,2.36,2.3,3.53,6.02,4.57,1.35,3.22,2.56,2.67,4.43,1.7,1.52,3.73,1.77,3.33,3.76,2.88,3.49,1.91,3.04,5.13,2.52,,,,,,,,,,
September,,,,,,,6.5,2.97,4.57,6.07,2.36,6.05,2.55,3.06,2.8,2.24,4.73,1.51,1.6,3.68,6.07,2.77,2.58,4.23,2.57,5.92,1.89,3.06,1.76,1.05,0.86,1.63,3.31,2.26,2.71,0.98,8.24,2.53,1.04,2.39,1.09,1.58,1.03,2.84,1.94,2.18,1.29,0.51,1.97,3.7,,,,,,,,,,
October,,,,,,,2.1,3.54,3.59,1.57,4.71,2.33,6.67,3.62,6.09,6.09,2.01,2.82,3.43,1.03,5.42,2.28,6.62,2.96,0.86,4.27,5.06,1.55,1.79,5.09,1.57,9.07,4.79,4.59,5.07,3.5,3.79,0.76,4.74,3.43,2.59,3.37,2.26,10.07,2.12,2.38,5.73,6.72,2.21,7.33,,,,,,,,,,
November,,,,,,,1.95,1,2.39,2.46,2.32,0.5,5.6,2.77,4.01,4.69,4.02,7.36,3.74,0.97,3.09,5.57,4.23,5.47,1.48,3.6,3.57,5.06,6.06,1.48,2.11,4.05,3.23,2.84,6.04,6.02,1.31,1.39,4.85,6.09,3.04,0.92,3.44,1.92,1.26,4.25,4.81,2.88,1.26,0.73,,,,,,,,,,
December,,,,,,,3.16,1.7,8.14,4.86,3.24,2.43,6.47,0.67,3.02,1.36,8.33,2.07,2.09,1.28,3.78,3.52,3.27,1.32,4.13,1.86,5.96,2.45,2.45,2.64,0.8,5.64,1.9,3.85,3.29,3.07,5.19,5.6,3.81,1.89,4.85,5.44,2.13,3.77,3.48,0.85,2.6,4.65,4.04,4.48,,,,,,,,,,
Total,,,,,,,36.94,32.99,38.27,34.86,24.98,32.46,48.05,29.25,33.14,38.34,38.14,42.6,29.64,38.57,35.53,32.11,37.09,34.09,28.28,35.1,33.75,25.83,32.38,28.04,26.17,40.85,26.83,27.31,41.48,30.92,32.93,33.36,27.13,31.56,34.72,27.85,26.43,46.85,31.29,29.36,33.4,33.62,31.58,37.39,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 50 or 60 yards in 1882. New elevation 433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
