"LUTTERWORTH (WATERWORKS)",,,,,,,,,,,,
Grid ref,SP548940,Long,-1.193424,Lat,52.541108,,,,,,,
Station no,2492,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.54,2.24,1.30,1.20,2.44,3.63,1.69,2.79,,,,
February,3.40,0.66,1.29,2.44,2.12,0.50,3.43,3.52,,,,
March,3.73,2.08,1.21,2.74,2.34,0.67,2.63,1.40,,,,
April,2.77,2.20,2.01,0.40,1.07,0.66,0.23,0.98,,,,
May,3.07,2.98,1.66,2.59,3.94,0.32,1.64,1.74,,,,
June,1.78,1.28,2.62,2.32,2.43,2.50,1.91,5.27,,,,
July,2.26,0.30,2.68,3.07,0.34,2.82,3.05,5.01,,,,
August,5.24,3.80,2.93,3.98,0.79,5.20,3.23,2.06,,,,
September,1.41,1.71,1.58,2.12,1.48,2.31,4.15,2.83,,,,
October,1.15,3.28,3.06,3.85,1.70,1.97,1.35,2.81,,,,
November,4.54,2.56,1.39,5.30,1.17,0.70,1.65,1.81,,,,
December,2.14,2.67,0.89,2.12,2.02,3.11,2.49,2.52,,,,
Total,34.03,25.76,22.62,32.13,21.84,24.39,27.45,32.74,,,,
Calc annual,34.03,25.76,22.62,32.13,21.84,24.39,27.45,32.74,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
