"LINCOLN - COTTESFORD PLACE, 6 James Street",,,,,,,,,,,,,,,,,,
Grid ref,SK977720,Long,-0.538,Lat,53.236,Elevation,220,ft,,,,,,,,,,
Station no,RR4171,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924
January,0.87,1.08,1.36,1.86,1.24,3.21,2.41,1.26,2.42,0.66,2.30,1.77,3.04,1.69,1.83,2.62,1.93,1.87
February,1.55,2.00,0.57,2.34,1.04,1.05,0.74,0.94,2.72,3.88,0.89,1.57,2.33,1.75,0.26,2.92,3.95,0.83
March,1.42,2.38,2.99,0.51,1.86,2.52,3.00,1.84,0.92,3.48,1.64,0.85,2.72,3.02,0.75,1.65,1.67,0.79
April,1.69,2.74,1.79,1.71,1.37,0.18,2.26,1.08,0.69,1.57,1.62,1.36,1.44,4.82,1.07,2.03,1.04,1.52
May,3.53,2.32,0.91,2.43,0.97,2.83,2.02,1.68,2.18,2.56,1.57,1.72,1.21,2.20,2.06,1.11,3.36,2.43
June,2.48,1.60,3.04,1.60,3.38,4.25,0.76,1.86,2.13,1.54,1.05,1.11,1.38,2.24,0.52,0.91,1.27,1.49
July,1.66,2.82,4.07,2.81,0.32,3.57,0.52,2.79,5.06,1.62,1.35,2.67,3.06,2.71,0.36,4.62,4.04,2.09
August,2.17,2.24,3.58,3.54,1.37,4.66,1.39,1.50,2.59,4.21,5.28,1.92,2.80,1.05,3.37,2.99,2.93,3.19
September,0.71,1.78,1.66,0.25,1.81,1.23,2.16,0.77,0.70,1.44,1.01,3.75,1.77,1.91,0.80,2.85,2.53,2.36
October,5.75,0.91,3.00,1.92,1.95,2.19,2.82,2.21,1.11,1.81,2.61,1.66,2.27,1.40,1.55,1.19,1.77,4.42
November,2.24,1.21,0.27,2.97,2.40,2.35,2.14,2.35,2.34,2.71,1.49,2.03,1.97,0.75,1.91,1.16,2.20,1.30
December,1.91,1.68,4.39,3.20,3.81,2.65,0.73,4.67,4.95,2.38,1.12,3.40,2.93,2.22,1.79,3.05,2.46,2.33
Total,25.98,22.76,27.63,25.14,21.52,30.69,20.95,22.95,27.81,27.86,21.93,23.81,26.92,25.76,16.27,27.10,29.15,24.62
,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/118,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/073,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/062,,,,,,,,,,,,,,,,,,
