"AYR GLENDRISHAIG",,,,,,,,,,,,
Grid ref,NS341212,Long,-4.625130,Lat,55.456449,,,,,,,
Station no,5271/7,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.76,2.36,4.38,7.30,3.42,2.48,4.25,2.12,4.75,4.90,,
February,2.03,0.98,1.10,4.62,2.35,2.20,2.65,2.50,2.65,2.64,,
March,0.19,1.85,2.80,6.52,2.15,2.36,3.15,3.95,3.85,3.85,,
April,1.85,3.06,0.70,1.10,3.27,2.32,1.48,2.69,1.50,2.56,,
May,2.70,1.33,2.20,3.20,2.32,1.25,3.30,3.80,2.16,1.60,,
June,2.12,2.79,1.41,2.10,1.02,1.15,0.90,2.95,2.39,2.95,,
July,2.56,0.91,2.24,2.55,2.15,2.70,2.52,2.05,3.12,4.58,,
August,5.10,3.86,2.29,6.03,4.45,4.30,4.52,3.36,3.33,2.55,,
September,3.60,3.73,3.30,2.55,3.22,2.40,1.42,0.90,3.95,1.90,,
October,5.20,4.38,2.10,7.28,1.90,3.35,4.70,7.10,0.67,6.21,,
November,4.86,4.03,2.42,3.00,3.37,3.30,3.55,3.32,3.80,1.76,,
December,5.75,3.95,2.75,3.85,2.48,3.65,3.85,3.75,3.46,4.64,,
Total,40.72,33.23,27.69,50.10,32.10,31.46,36.29,38.49,35.63,40.14,,
Calc annual,40.72,33.23,27.69,50.10,32.10,31.46,36.29,38.49,35.63,40.14,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
