"BALLYCASTLE (MAGHERINTEMPLE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6230,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.45,6.19,5.50,,,,,,,,,
February,2.97,2.23,2.89,,,,,,,,,
March,3.16,2.74,1.20,,,,,,,,,
April,2.40,2.46,2.47,,,,,,,,,
May,2.11,2.71,3.57,,,,,,,,,
June,0.63,1.12,3.36,,,,,,,,,
July,2.72,4.93,1.21,,,,,,,,,
August,5.87,4.61,6.23,,,,,,,,,
September,1.24,5.30,2.92,,,,,,,,,
October,5.05,4.45,3.34,,,,,,,,,
November,6.10,1.71,3.18,,,,,,,,,
December,2.37,3.79,2.85,,,,,,,,,
Total,37.07,42.24,38.72,,,,,,,,,
Calc annual,37.07,42.24,38.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
