BALLYCASTLE (MAGHERINTEMPLE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ID145397,Long,-6.202641,Lat,55.1914761,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,6230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,4.3,3.97,3.56,5.65,5.88,6.97,1.51,4.12,5.46,4.58,2.56,4.2,2.83,6.67,6.58,5.3,3.49,4.92,2.45,6.19,5.5,,,,,,,
February,,,,8.25,2.24,5.24,2.79,1.74,4.35,2.32,1.34,4.31,0.14,4.35,0.44,4.61,2.22,6,2,3.04,3.13,2.97,2.23,2.89,,,,,,,
March,,,,1.25,0.87,3.22,2.04,3.13,3.37,0.33,2.22,1.25,2.09,2.19,3.53,1.26,3.33,2.27,2.07,6.29,4.69,3.16,2.74,1.2,,,,,,,
April,,,,3.78,2.86,5.49,1.62,3.12,1.31,1.14,2.99,2.23,4.06,1.32,3.27,3.86,0.84,2.49,0.58,2.19,4.37,2.4,2.46,2.47,,,,,,,
May,,,,2.7,4.43,4.12,2.83,2.7,0.7,2.64,1.9,2.08,1.96,1.24,3.36,1.56,2.13,1.44,3.23,0.8,2.19,2.11,2.71,3.57,,,,,,,
June,,,,1.72,2.13,1.37,2.41,3.69,5.07,2.95,2.68,4.26,1,2.18,2.36,3.1,1.91,2.69,3.83,3.3,1.88,0.63,1.12,3.36,,,,,,,
July,,,,4.11,5.27,4.66,4.2,3.07,1.66,2.81,3.47,3.98,5.71,2.41,2.65,2.73,6.69,4.49,4.01,4.36,4.79,2.72,4.93,1.21,,,,,,,
August,,,,6.15,5.16,1.76,3.82,3.01,4.44,5.36,7.55,2.07,1.78,2.96,5.53,2.13,3.35,3.31,2.72,2.49,2.41,5.87,4.61,6.23,,,,,,,
September,,,,5.85,6.79,3.99,4.7,5.26,3.94,1.53,2.62,1.92,4.03,0.71,4.27,3.83,5.47,2.76,2.67,3.19,5.54,1.24,5.3,2.92,,,,,,,
October,,,,5.86,2.26,3.52,7.23,3.7,6.83,6.2,7.96,2.78,6.24,4.37,6.88,7.58,5.4,4.06,6.59,4.09,5.74,5.05,4.45,3.34,,,,,,,
November,,,,5.51,3.32,3.21,6.11,5.51,5.75,6.76,5.47,4.61,4.34,2.64,1.58,4.83,5.92,2.5,5.93,5.28,5.66,6.1,1.71,3.18,,,,,,,
December,,,,6.16,4.93,4.51,2.92,2.93,4.81,8.34,3.27,3.02,4.78,2.92,6.94,4.63,4.17,3.46,4.81,3.06,6.12,2.37,3.79,2.85,,,,,,,
Total,,,,55.64,44.23,44.65,46.32,43.74,49.2,41.89,45.59,37.97,40.71,29.85,45.01,42.95,48.1,42.05,43.74,41.58,51.44,37.07,42.24,38.72,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1930 not transcribed originally  as column left labelled as ""mean"" but clearly not so.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
added manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
