LOSSIEMOUTH AIRFIELD,,,,,,,,,,,,
Grid ref,NJ211701,Long,-3.325942,Lat,57.713733,,,,,,,
Station no,5681/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.72,,,,,100.00,,2.66,2.92,3.84,,
February,1.96,,,,,-999.00,0.88,1.52,0.28,2.17,,
March,,,,,,-999.00,2.66,0.57,1.08,1.06,,
April,,,,,,-999.00,,1.30,1.71,1.53,,
May,,,,,,-999.00,0.76,2.27,0.50,0.63,,
June,,,,,,-999.00,1.62,2.10,1.63,2.42,,
July,,,,,,-999.00,5.01,3.29,2.16,2.58,,
August,,,,,,100.00,,2.93,0.94,5.41,,
September,,,,,,2.02,0.95,1.13,1.12,2.32,,
October,,,,,,2.39,1.05,1.58,3.20,2.87,,
November,,,,,,1.38,1.45,1.24,2.46,1.65,,
December,,,,,,100.00,,1.95,1.30,0.92,,
Total,,,,,,100.00,,22.54,19.30,27.40,,
Calc annual,4.68,0.00,0.00,0.00,0.00,305.79,14.38,22.54,19.30,27.40,,
Difference,NaN,NaN,NaN,NaN,NaN,-205.79,NaN,0.00,0.00,-0.00,,
