THORNLEY,,,,,,,,,,
Grid ref,NZ115371,Long,-1.8229529,Lat,54.728757,Elevation,653,ft,,
Station no,RR8222,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,2.42,3.58,1.3,2.9,1.87,0.79,1.25
February,,,,1.84,1.12,0.91,1.36,0.63,0.78,
March,,,,1.22,2.53,2.25,2.8,1.04,2.52,
April,,,,1.55,2.12,4.35,1.66,0.64,2.43,
May,,,,2.17,0.83,2.35,3.38,1.88,0.47,1.42
June,,,,2.96,0.87,2.02,0.56,0.21,3.17,0.39
July,,,3.87,3.13,3.25,1.56,5.89,0.85,8.44,2.09
August,,,2.32,1.05,1.14,2.61,1.08,1.84,1.9,1.87
September,,,2.06,4.87,1.45,2.84,1.62,5.39,1.89,1.05
October,,,4.73,1.73,2.13,5.34,3.35,3.58,0.7,4.85
November,,,3.59,0.91,1.42,2.13,3.24,3.36,5.15,0.9
December,,,3.63,1.92,1.44,0.63,3.62,2.89,1.01,1.17
Total,,,,25.77,21.88,28.29,31.46,24.18,29.25,
