BALDERSDALE - AYGILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY886169,Long,-2.178,Lat,54.547,Elevation,1250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.70,5.50,6.30,5.50,9.30,1.50,6.90,4.80,5.90,3.90,5.20,2.60,5.20,5.90,6.60,7.80,,,,5.40,7.60,5.50,3.90,4.80,9.90,3.20,3.20,4.60,5.00,2.00,4.80,3.30,4.50,5.20,4.50,3.80,5.50
February,1.50,6.90,3.80,1.90,5.80,0.90,1.10,4.90,0.60,7.10,0.25,8.00,3.40,5.70,2.30,4.70,,,,3.30,2.50,5.10,4.60,,4.40,4.40,6.90,4.95,2.10,2.50,3.50,2.60,2.40,4.30,-999.00,1.20,3.20
March,1.80,2.50,3.20,4.60,4.60,0.50,4.30,1.10,3.50,3.20,4.60,2.20,3.00,4.00,4.10,4.40,5.40,,,2.10,0.80,2.80,2.10,-999.00,3.30,2.00,2.90,4.60,2.50,0.80,2.80,2.10,2.40,2.70,-999.00,2.80,2.70
April,2.50,4.30,2.40,4.00,1.00,1.90,3.40,4.00,4.90,2.70,3.60,3.70,1.00,3.20,0.90,2.70,2.50,2.30,2.10,3.00,2.10,3.00,1.80,-999.00,3.20,4.50,4.00,3.30,2.90,3.80,1.20,2.00,1.40,1.00,3.00,3.50,2.50
May,6.40,4.40,3.10,3.20,1.20,2.40,2.20,3.40,3.80,2.80,2.60,0.50,2.20,3.80,3.40,1.00,3.50,2.60,2.70,4.50,2.50,4.00,1.70,1.90,1.90,1.90,3.35,3.20,,2.65,4.60,4.60,1.60,2.50,5.80,0.50,1.90
June,2.30,0.30,4.40,3.90,7.40,2.70,2.70,6.30,1.30,2.20,2.50,3.70,3.60,3.50,3.80,4.10,1.20,0.40,0.90,4.80,3.90,3.80,3.00,5.90,6.00,1.10,3.50,1.10,,1.80,4.20,2.90,2.30,2.60,3.00,2.20,2.00
July,5.70,2.10,5.10,5.30,3.80,4.40,7.80,6.00,5.20,4.50,3.40,1.60,4.50,3.10,4.50,6.10,5.20,1.00,4.90,3.40,3.80,2.40,6.30,5.30,2.60,3.60,4.30,2.40,3.30,5.50,4.80,1.60,4.00,6.20,4.50,2.70,6.60
August,3.50,4.20,4.70,9.60,8.80,4.40,7.80,3.50,1.80,2.60,4.70,1.70,3.20,1.50,4.00,3.20,2.90,5.80,3.60,9.10,2.60,4.20,6.70,0.20,6.50,2.90,7.85,4.00,6.00,7.60,7.30,1.30,9.80,7.50,5.00,1.20,4.20
September,4.70,3.80,5.90,7.50,1.40,2.90,4.70,2.10,6.50,2.20,3.20,8.70,7.60,3.90,2.60,,4.80,0.90,4.10,4.50,7.30,3.20,7.40,5.00,5.70,3.10,7.70,4.40,5.30,3.90,8.60,2.70,3.50,5.30,4.00,0.90,2.40
October,5.70,4.70,4.00,4.10,5.80,5.20,6.50,3.50,7.20,5.30,8.00,8.70,4.90,2.60,8.60,5.10,,5.00,4.80,4.60,4.50,5.80,0.80,1.70,4.20,5.70,4.38,1.30,5.00,2.10,10.50,2.80,4.60,4.90,4.00,3.70,6.80
November,2.90,2.50,6.20,5.70,6.30,6.90,5.00,6.00,3.40,3.40,2.30,6.30,6.00,1.50,4.80,5.20,5.40,3.60,1.70,3.00,7.80,1.10,8.10,7.40,3.90,8.30,6.20,9.60,3.20,4.70,7.80,2.30,1.60,2.10,1.20,5.80,6.80
December,7.60,6.80,2.60,3.40,2.90,8.00,3.60,3.10,3.50,1.10,5.60,2.80,6.40,2.90,6.80,1.60,5.80,2.40,4.60,2.50,5.40,2.70,5.10,4.40,3.90,8.20,3.00,9.50,4.50,2.60,6.30,7.50,5.30,4.50,3.90,7.80,5.50
Total,48.30,48.00,51.70,58.70,58.30,41.70,56.00,48.70,47.60,41.00,45.95,50.50,51.00,41.60,52.40,,,,,50.20,50.80,43.60,51.50,,55.50,48.90,57.28,52.95,,39.95,66.40,35.70,43.40,48.80,49.40,36.10,50.10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings which are identified as apportioned and have been retained:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - March-April 1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# - February-March 1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
