DUNDEE EASTERN NECROPOLIS,,,,,,,,,,,,
Grid ref,NO425316,Long,-2.934972,Lat,56.472998,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.60,1.65,1.00,3.85,1.85,0.35,2.05,0.95,1.55,1.45,,
February,2.90,1.35,1.30,3.30,4.25,0.80,0.70,1.00,0.60,0.80,,
March,1.25,1.35,1.00,2.40,1.75,3.15,1.05,1.80,3.80,3.20,,
April,1.45,2.30,1.65,1.00,1.70,2.20,0.95,1.85,0.80,3.45,,
May,1.70,1.70,2.10,1.25,2.50,1.40,5.00,4.20,1.75,3.85,,
June,1.50,2.25,1.60,2.20,0.50,0.85,1.10,4.20,1.00,0.80,,
July,3.30,0.90,2.75,4.40,1.15,1.35,0.90,2.30,1.90,2.65,,
August,4.40,3.70,3.00,5.30,5.55,3.45,4.65,3.80,2.70,1.70,,
September,2.30,1.50,1.45,2.30,2.35,1.15,1.05,1.15,4.75,1.40,,
October,3.65,2.20,1.40,5.30,0.70,1.90,3.75,5.20,2.80,3.55,,
November,4.60,1.80,2.90,0.85,0.60,4.35,3.75,1.40,1.65,0.30,,
December,3.65,2.85,3.00,2.50,1.80,1.25,1.70,3.55,1.55,2.80,,
Total,34.30,23.55,23.15,34.65,24.70,22.20,26.65,31.40,24.85,25.95,,
Calc annual,34.30,23.55,23.15,34.65,24.70,22.20,26.65,31.40,24.85,25.95,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
