Rainfall at,DUNDEE, EASTERN NECROPOLIS
,
Station no,,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.60,2.60,3.35,1.55,,,,,,,,
February,1.80,0.45,2.45,4.85,,,,,,,,
March,2.10,2.20,1.70,1.45,,,,,,,,
April,1.75,1.00,1.55,2.60,,,,,,,,
May,3.15,1.85,0.90,2.15,,,,,,,,
June,1.05,0.60,1.80,0.85,,,,,,,,
July,2.11,2.10,3.25,3.00,,,,,,,,
August,4.20,3.85,2.95,4.80,,,,,,,,
September,2.75,1.70,2.30,2.40,,,,,,,,
October,2.25,2.40,1.50,2.20,,,,,,,,
November,2.40,2.05,1.35,2.20,,,,,,,,
December,3.30,1.45,1.85,2.85,,,,,,,,
Total,29.46,22.25,24.95,30.90,,,,,,,,
Calc annual,29.46,22.25,24.95,30.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
