Rainfall at,DUNDEE, EASTERN NECROPOLIS
,
Station no,5589,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.64,2.60,3.35,1.57,2.50,2.01,4.78,1.91,4.43,1.25,1.97,
February,1.81,0.46,2.47,4.85,1.09,3.25,4.95,1.31,1.83,1.92,1.50,
March,2.11,2.20,1.72,1.45,0.78,1.43,1.17,2.41,4.67,0.42,1.64,
April,1.76,1.04,1.55,2.61,1.83,2.87,2.07,0.96,1.01,1.15,2.23,
May,3.17,1.88,0.94,2.16,4.40,3.77,2.31,2.39,1.36,2.39,1.58,
June,1.09,0.62,1.84,0.86,2.17,0.61,3.05,2.53,4.08,1.96,1.89,
July,2.11,2.14,3.25,3.02,4.74,1.76,3.18,2.17,1.09,3.49,2.30,
August,4.22,3.85,2.96,4.84,2.88,1.81,2.29,5.58,5.18,3.29,6.09,
September,2.79,1.71,2.33,2.40,4.53,2.92,4.04,5.32,2.52,0.65,4.69,
October,2.26,2.42,1.52,2.23,4.72,2.36,5.12,5.26,3.80,2.86,2.77,
November,2.40,2.09,1.37,2.24,2.00,0.88,5.09,2.97,3.26,3.78,3.69,
December,3.31,1.46,1.87,2.85,4.02,2.57,0.31,2.02,2.30,3.63,2.95,
Total,29.67,22.47,25.17,31.08,35.66,26.24,38.36,34.83,35.53,26.79,33.30,
Calc annual,29.67,22.47,25.17,31.08,35.66,26.24,38.36,34.83,35.53,26.79,33.30,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
