"DUNDEE EASTERN NECROPOLIS",,,,,,,,,,,,
Grid ref,NO425316,Long,-2.934972,Lat,56.472998,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.64,1.72,1.04,3.89,1.85,0.37,2.06,1.00,1.61,1.47,,
February,2.93,1.38,1.33,3.33,4.25,0.88,0.78,1.06,0.60,0.82,,
March,1.28,1.42,1.00,2.47,1.79,3.23,1.11,1.85,3.88,3.25,,
April,1.49,2.38,1.71,1.11,1.75,2.23,0.99,1.88,0.82,3.46,,
May,1.77,1.83,2.10,1.30,2.56,1.45,5.03,4.23,1.82,3.86,,
June,1.56,2.29,1.67,2.30,0.57,0.88,1.13,4.22,1.06,0.83,,
July,3.38,0.94,2.81,4.47,1.25,1.41,0.98,2.37,1.95,2.71,,
August,4.42,3.71,3.08,5.35,5.58,3.52,4.69,3.87,2.75,1.78,,
September,2.33,1.54,1.53,2.36,2.40,1.21,1.07,1.21,4.80,1.46,,
October,3.69,2.27,1.49,5.34,0.78,1.94,3.83,5.29,2.81,3.56,,
November,4.61,1.84,2.92,0.94,0.68,4.36,3.77,1.43,1.68,0.31,,
December,3.70,2.87,3.05,2.54,1.85,1.27,1.74,3.58,1.61,2.85,,
Total,34.80,24.19,23.73,35.40,25.31,22.75,27.18,31.99,25.39,26.36,,
Calc annual,34.80,24.19,23.73,35.40,25.31,22.75,27.18,31.99,25.39,26.36,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
