"BRAITHWAITE MOOR (HIGH HOUSE)",,,,,,,,,,,,
Grid ref,SE136610,Long,-1.793798,Lat,54.044793,,,,,,,
Station no,3338/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.89,4.16,1.68,3.21,3.16,5.58,4.01,5.85,3.73,6.98,,
February,3.68,0.93,3.60,2.80,2.31,2.56,3.18,9.14,0.41,3.42,,
March,4.31,3.50,1.13,3.17,2.77,2.16,4.01,2.62,2.40,2.92,,
April,2.50,2.22,3.30,0.87,1.49,2.73,0.60,1.08,4.33,3.15,,
May,5.13,2.38,1.99,3.88,4.19,1.56,1.45,5.46,1.13,1.37,,
June,1.31,2.36,2.39,3.11,3.38,3.08,1.59,5.25,1.44,1.34,,
July,2.08,1.94,5.63,3.67,1.74,5.35,3.83,4.27,2.47,6.89,,
August,6.96,5.92,5.07,8.87,1.05,9.26,5.52,3.19,0.72,4.03,,
September,3.72,4.97,3.50,4.19,2.01,5.31,5.76,5.11,0.36,3.19,,
October,1.63,4.50,2.79,7.69,3.13,2.17,5.92,4.06,4.21,7.49,,
November,10.35,2.13,4.98,7.43,2.49,1.37,3.12,1.31,5.45,7.28,,
December,6.99,3.47,1.69,5.45,6.69,5.29,3.36,5.49,9.15,5.39,,
Total,52.55,38.48,37.75,54.34,34.41,46.42,42.35,52.83,35.80,53.45,,
Calc annual,52.55,38.48,37.75,54.34,34.41,46.42,42.35,52.83,35.80,53.45,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
