"KNOCKANDO, SCHOOLHOUSE (WINDMILL COTTAGE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 18672 43011,Long,-3.357587,Lat,57.470042,Elevation,606,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.89,1.99,3.28,5.16,5.12,1.88,1.85,2.07,2.56,1.39,1.77,1.85,2.56,2.93,1.76,2.35,4.25,3.53,0.84,1.71,3.01,2.89,,,,
February,,,,,,2.67,3.13,1.41,2.66,0.8,1.52,0.37,1.49,,3.31,5.51,1.01,1.13,1.83,0.62,1.15,3.08,0.87,4.64,2.5,3.08,1.67,,,,
March,,,,,,3.52,2.69,2.06,1.75,3.81,2.88,1.33,2.24,0.85,2.58,3.22,2.26,2,2.41,0.41,1.76,3.96,4.13,0.57,4.05,1.12,1.12,,,,
April,,,,,0.67,2.84,2.68,3.34,2.09,4.41,2.42,1.15,5.22,2.13,0.97,2.54,3.26,4.41,1.34,3.61,2.53,2.14,3.97,2.41,5.95,3.68,1.24,,,,
May,,,,,4.85,1.41,4.86,1.13,1.71,0.42,1.66,2.82,1.41,,3.85,2.53,2.91,4.27,2.55,1.73,1.09,2.82,3.7,1.28,3.75,1.66,1.68,,,,
June,,,,,2.23,0.88,8.14,3.07,3.04,4.13,0.77,1.62,1.02,1.62,2.62,0.91,3.58,4.22,5.25,4.17,1.01,2.48,0.34,2.32,2.68,1.64,1.69,,,,
July,,,,,4.6,6.24,3.21,1.31,5.47,0.87,2.76,2.26,4.45,1.93,4.95,2.64,2.17,2.08,2.18,3.1,3.65,4.87,3.3,1.81,4.69,1.33,4.87,,,,
August,,,,,2.13,2.99,2.35,6.5,3.1,1.96,3.06,2.73,3.01,5.19,4.85,1.34,2.91,3.84,3.97,3.84,5.54,4,1.23,1.79,3.55,2.13,1.97,,,,
September,,,,,1.73,5.83,1.78,1.81,5.38,3.95,3.8,1.36,2.5,2.43,3.67,3.91,2.55,9.66,3.64,2.14,5.81,2.34,4.64,1.89,1.19,3.4,2.8,,,,
October,,,,,1.28,1.26,4.16,5.81,2.73,4.71,1.25,2.08,1.88,3.25,3.01,2.41,4.79,5.47,3.49,4.39,4.35,3.38,7.84,8.79,4.89,4.4,2.49,,,,
November,,,,,4.33,6.23,3.01,5.94,1.68,4.96,1.18,2.09,1.99,5.04,1.16,1.84,3.37,4.82,3.88,1.86,5.17,2.05,3.17,2.14,3.71,2.49,1.99,,,,
December,,,,,4.32,4.76,2.17,2.64,2.47,2.46,1.37,2.61,1.19,,1.15,4.19,1.42,1.51,1.65,2.67,1.42,1.51,1.64,0.39,1.37,2.08,1.93,,,,
Total,,,,,,41.52,40.17,38.3,37.24,37.6,24.55,22.27,28.47,,33.51,32.81,32.08,45.97,35.12,30.3,35.83,36.88,38.36,28.87,40.04,30.02,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 F M D+T deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 T deleted esd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
