"COCKERMOUTH BROUGHTON GRANGE",,,,,,,,,,,,
Grid ref,NY079315,Long,-3.429603,Lat,54.670124,,,,,,,
Station no,RR1293,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.05,2.68,3.15,4.32,3.70,1.25,5.67,1.45,4.34,3.38,,
February,4.51,1.66,0.84,5.18,3.05,2.54,2.66,2.00,2.92,2.35,,
March,0.46,1.91,2.12,6.61,2.86,3.25,2.40,4.24,3.69,3.67,,
April,2.29,3.01,1.55,1.55,3.03,3.54,1.42,2.54,1.53,2.83,,
May,2.90,1.56,2.69,2.63,2.80,2.67,4.77,3.98,2.70,1.73,,
June,3.45,2.50,1.57,1.29,1.44,1.89,1.75,5.54,2.93,2.53,,
July,1.91,0.88,3.47,4.52,2.77,2.61,2.50,1.88,3.62,6.98,,
August,8.56,4.28,2.86,5.54,4.07,3.26,5.59,4.64,4.70,2.61,,
September,3.62,2.45,1.61,5.15,2.38,3.18,1.37,0.36,4.72,2.42,,
October,5.31,5.93,3.32,8.75,2.52,2.67,5.95,7.08,1.75,8.66,,
November,4.22,4.87,2.25,3.79,3.73,3.96,4.17,4.37,3.27,2.11,,
December,7.43,5.06,3.77,3.50,4.87,3.11,3.37,5.89,3.30,6.78,,
Total,48.71,36.79,29.20,52.83,37.22,33.93,41.62,43.97,39.47,46.05,,
Calc annual,48.71,36.79,29.20,52.83,37.22,33.93,41.62,43.97,39.47,46.05,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
