EASTWOOD-COLLIERY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref ,SK465473 ,Long ,-1.3069,Lat ,53.0216,Elevation ,245,ft ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,RR174 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January ,,,,,,,,,1.81,2.96,1.46,1.12,4.26,2.58,1.91,3.59,1.68,4.63,,,0.18,0.49,2.12,2.3,2.64,1.54,2.44,1.59,0.58,1.33,3.49,2.11,1.37,1.57,2.09,4.22,0.75,1.94,0.95,3.1,4.11,1.81,1.3,2.21,2.81,0.86,3.67,1.19,1.25,1.08,2.44,1.27,4.13,3.54,1.37,2.75,1.29,3.04,,
February ,,,,,,,,,2.58,2.11,1.85,1.94,2.99,1.27,1.99,1.34,2.94,2.06,,,1.7,3.91,1.85,2.83,1.43,1.98,0.28,0.5,0.85,1.78,0.83,0.1,1.57,2.88,2.17,0.25,0.79,3.04,1.28,1.38,3.87,1.6,2.03,1.14,3.43,0.9,3.02,2.11,1.71,0.8,2.45,1.84,1.61,0.92,1.59,3.57,5.1,0.71,,
March ,,,,,,,,,2.32,2.29,1.77,1.76,1.89,2.15,1.36,0.73,2.77,2.09,,,2.29,2.36,1.52,0.93,1.57,1.02,2.54,0.74,1.96,3.37,1.43,1.25,1.05,0.36,1.19,1.85,3.14,2.45,1.29,1.13,0.78,2.62,1.76,3.71,1.87,3.1,1.75,1.65,3,3.29,0.57,1.32,3.63,4.1,2.89,0.72,4.57,,,
April ,,,,,,,,,1.55,1.7,0.86,3.94,2.59,0.74,1.65,0.96,2.8,,,,1.05,1.05,2.51,1.88,1.44,1.16,1.58,1.18,1.69,2.32,0.44,2.05,0.7,0.74,1.96,1.86,0.87,2.07,1.63,2.42,1.06,1.48,2.35,1.97,1.49,1.72,0.61,1.92,2.24,1.64,2.02,1.26,0.29,3.13,1.09,0.97,1.64,,,
May ,,,,,,,,,1.35,5.13,1.23,1.78,2.02,3.23,1.37,1.95,1.02,,,,1.42,1.44,2.43,1.16,0.73,2.05,4.32,1.42,0.57,3.74,1.8,2.75,2.72,2.98,1.52,0.6,0.39,1.33,2.58,3.45,1.31,0.98,2.6,3.51,1.35,0.51,2.02,3.6,1.9,1.21,2.21,1.1,3.29,2.02,1.79,1.4,2.53,,,
June ,,,,,,,,,0.27,1.19,2.08,5.39,5.54,2.04,1.09,2.59,2.39,,,,3.35,1.95,3.64,4.46,0.86,2.63,1.29,0.44,1.54,0.31,2.03,3.72,4.27,1.04,1.96,0.81,2.69,2.56,1.41,2.36,3.1,1.82,1.98,1.3,0.4,2.93,2.31,3.6,1.6,2.13,2.16,2.72,3.48,0.95,2.77,1.77,2.9,,,
July ,,,,,,,,,0.33,0.91,0.92,3.4,4.51,2.67,1.42,5.12,2.01,,,,5.6,1.29,2.96,2.02,5.22,0.36,3.06,0.88,4.28,3.73,2.29,2.34,2.07,3.81,2.11,4.48,2.09,0.56,1.22,2.32,2.83,5,1.62,1.97,1.57,1.47,1.09,2.6,4.14,3.85,2.72,0.06,5.78,1,2.9,5.72,1.87,,,
August ,,,,,,,,,3.14,1.72,1.32,0.97,2.95,3.29,2.47,5.28,1.59,,,,2.78,4.97,1.82,1.3,1.98,2.13,1.98,1.34,2.31,2.79,3.46,4.14,2.5,1.68,1.93,1.94,1.73,2.37,2.69,0.44,5.58,1.82,3.6,4.91,3.03,3.6,2.11,3.17,3.75,2.5,4.01,2.11,6.24,1.78,1.83,3.24,1.92,,,
September ,,,,,,,,,1.72,5.29,1.59,5.45,3.11,1.6,2.92,3.59,4.5,,,,3.89,1.56,1.56,4.88,1.09,2.51,1.17,2.17,0.87,2.38,1.5,1.78,3.12,1.34,0.45,0.61,3.81,2.46,0.46,3.2,0.78,1.51,1.21,3.56,1.85,1.48,0.95,0.75,1.53,2.81,0.4,1.33,1.13,1.6,1.27,1.11,1.52,,,
October ,,,,,,,,,3.01,1.45,5.1,2.55,4.35,2.77,2.11,5.48,2.18,,,,3.62,2.88,4.85,2.48,0.77,4.5,3.98,1.42,0.59,2.88,1.26,4.68,3.3,1.45,2.48,2.71,3.19,1.14,3.21,3.01,2.8,1.9,2.66,6.74,0.42,1.28,5.77,4.39,1.01,3.96,2.73,2.35,3.66,4.2,2.5,1.79,2.7,,,
November ,,,,,,,,,1.06,2.05,2.06,1.22,3.55,2.22,3.25,3.88,3.93,,,,2.15,3.02,3.24,2.96,0.75,2.23,1.47,1.53,3.56,0.88,3.48,3.01,1.23,1.52,1.85,3.12,1.29,2.37,2.36,1.28,2.85,2.69,1.72,2,1.27,3.23,2.83,2.65,1.23,0.47,4.38,2.22,2.32,2.32,3.66,2.77,3.13,,,
December ,,,,,,,,,6.88,4.69,2.53,1.51,3.55,0.26,2.78,1.37,6,,,,3.32,2.28,4.12,0.81,1.72,0.51,2.51,1.79,1.86,1.59,0.95,4.08,1.08,2.49,2.19,2.35,4.35,3.57,2.08,2.33,4.62,5.94,2.01,1.38,1.7,0.64,2.74,2.52,1.78,4.88,4.18,4.48,3.18,1.33,6.55,5.87,2.53,,,
Total ,,,,,,,,,26.02,31.49,22.77,31.03,41.31,24.82,24.32,35.88,33.81,,,,31.35,27.2,32.62,28.01,20.2,22.62,26.62,15,20.66,27.1,22.96,32.01,24.98,21.86,21.9,24.8,25.09,25.86,21.16,26.42,33.69,29.17,24.84,34.4,21.19,21.72,28.87,30.15,25.14,28.62,30.27,22.06,38.74,26.89,30.21,31.68,31.7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877 Apr-Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878-1879 estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
