"BETTYHILL",,,,,,,,,,,,
Grid ref,NC709622,Long,-4.218760,Lat,58.528712,,,,,,,
Station no,RR2177,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.36,4.27,1.80,4.61,2.60,4.05,3.81,3.72,2.95,4.49,,
February,2.43,3.60,2.84,4.45,2.53,3.89,5.39,2.12,4.76,1.79,,
March,2.70,3.11,3.47,2.23,0.48,5.15,2.92,2.20,3.81,1.89,,
April,2.43,1.25,0.74,2.88,5.03,3.21,1.73,2.03,2.20,2.28,,
May,2.32,0.69,1.59,1.48,1.01,0.98,4.43,2.05,1.57,1.49,,
June,1.51,3.30,1.84,1.79,0.95,0.76,1.04,3.56,1.88,2.12,,
July,3.59,1.36,3.16,3.35,1.28,1.20,3.87,1.29,1.79,2.13,,
August,1.84,2.32,1.60,5.75,4.98,3.95,2.17,4.93,1.66,3.70,,
September,5.07,1.11,2.31,2.03,2.49,3.11,1.97,0.81,4.85,2.69,,
October,4.96,3.59,3.91,4.96,3.09,6.35,2.88,2.09,0.88,5.05,,
November,4.05,4.18,0.60,5.88,4.23,4.06,6.78,1.96,3.78,6.74,,
December,4.76,6.07,2.87,1.22,3.76,2.64,3.72,2.40,1.76,3.40,,
Total,39.02,34.85,26.73,40.63,32.43,39.35,40.71,29.16,31.89,37.77,,
Calc annual,39.02,34.85,26.73,40.63,32.43,39.35,40.71,29.16,31.89,37.77,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
