LIMERICK - ROXBOROUGH HOUSE (Second gauge),,,,,,,,
Grid ref,IR583517,Long,-8.616,Lat,52.615,Elevation,108,ft
Station no,RR2379,,,,,,,
,,,,,,,,
,1894,1895,1896,1897,1898,1899,1900,
January,4.28,2.37,,2.24,3.05,4.36,4.94,
February,2.70,0.51,,2.05,2.67,2.85,3.05,
March,2.34,3.29,,4.11,1.01,1.00,0.82,
April,3.77,1.51,,5.43,4.29,3.68,2.38,
May,3.18,0.51,,1.90,3.16,2.83,1.72,
June,2.38,1.76,,4.30,2.75,1.36,4.01,
July,4.42,3.82,,2.56,1.77,2.21,2.20,
August,3.66,4.00,,5.28,5.14,2.90,6.55,
September,0.35,1.04,,3.25,3.69,4.05,1.27,
October,3.69,3.97,,3.52,3.59,1.89,4.31,
November,4.20,4.65,,5.41,4.86,2.29,5.12,
December,2.92,5.08,,4.62,2.26,6.84,4.83,
Total,37.89,32.51,,44.67,38.24,36.26,41.20,
,,,,,,,,
TYRain_1890-1899_27_pt1/062,,,,,,,,
TYRain_1900-1909_31_pt1/088,,,,,,,,
,,,,,,,,
"# The reading for January 1898 is shown bracketed without explanation, and has been retained.",,,,,,,,
#,,,,,,,,
# Location information from http://landedestates.ie/LandedEstates/jsp/property-show.jsp?id=2415,,,,,,,,
