WOLL,,,,,,,,,,,,,,,,,,,,
Grid ref,NT466220,Long,-2.8466325,Lat,55.488868,Elevation,625,ft,,,,,,,,,,,,
Station no,RR4475,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789
January,,,,,,,,,,,1.12,,,,,,,,,
February,,,,,,,,,,,1.21,,,,,,,,,
March,,,,,,,,,,,2.78,,,,,,,,,
April,,,,,,,,,,,4.09,,,,,,,,,
May,,,,,,,,,,,3.53,,,,,,,,,
June,,,,,,,,,,,1.86,,,,,,,,,
July,,,,,,,,,,,1.63,,,,,,,,,
August,,,,,,,,,,,0.5,,,,,,,,,
September,,,,,,,,,,,4.41,,,,,,,,,
October,,,,,,,,,,,4.06,,,,,,,,,
November,,,,,,,,,,,1.44,,,,,,,,,
December,,,,,,,,,,,0.54,,,,,,,,,
Total,,,,34.02,30.69,39.18,27.58,,,,27.17,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR and elevation added to record 28 July 1978.,,,,,,,,,,,,,,,,,,,,
"Original record has the location 5 miles north of Roberton, and 6 miles from, unknown direction, from Selkirk",,,,,,,,,,,,,,,,,,,,
Roberton is about 5 miles SW from 1978 NGR and named on 1st Ed OS,,,,,,,,,,,,,,,,,,,,
