WOOPLAW HOUSE GALASHIELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT500419,Long,-2.796444,Lat,55.668019,Elevation,880,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,5,1.6,3.5,3.8,1.51,2.1,4.35,5.47,4.48,3.27,2.01,1.48,3.98,3.67,1.93,3.83,1.01,6.37,3.36,1.34,0.77,1.95,1.86,2.41,3.45,1.1,1.83,1.08,1.98,1.07,3.16,1.2,2.06,1.44,2.95,4.52,1.62,1.95,0.97,3.11,3.21,2.53,1.29,3.53,2.2,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,5,1.7,1.8,1.4,2.58,1.4,3.45,1.6,2.6,2.43,2.58,3.44,3.61,1.78,1.39,1.12,3.69,2.74,1.54,3.39,2.89,3.07,1.81,2.35,2.77,2.85,0.92,0.75,1.77,2.14,1.09,0.32,2.28,3.17,6.33,0.76,1.42,1.98,1.49,1.89,3.76,0.93,0.98,4.38,2.62,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.7,2.2,3,1.42,3.62,1.31,2.21,2.17,2.61,1.37,1.05,1.75,2.96,2.05,1.59,1.24,4.55,2.64,1.17,2.08,2.04,3.16,2.25,2.05,2.12,1.94,3.63,1.98,3.55,2.25,1.74,4.01,1.32,0.86,1.23,3.93,2.31,3.98,1.49,1.98,1.26,1.65,0.93,3.25,1.97,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,0.6,1.4,1.9,2.42,1.21,0.59,1.69,3.62,3.57,2.07,0.53,3.94,2.93,0.87,1.36,0.73,4.36,3.57,2.49,2.71,2.79,1.17,3.67,1.43,2.23,3.06,1.53,1.22,1.62,3.15,1.12,0.9,1.16,0.86,1.31,0.91,0.91,1.24,3.55,3.37,2.08,2.35,1.68,1.56,2.15,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,0.5,0.5,3.9,1.53,2.03,3.06,1.3,2.9,1.97,2.82,2.02,0.97,3.05,2.33,1.23,1.54,0.77,2.08,4.31,1.89,0.71,2.79,2.97,1.2,2.1,3.47,3.18,1.69,1.11,2.71,1.51,1.89,2.98,1.99,4.42,0.36,0.53,1.21,1.56,3.14,1.97,1.88,3.48,2.18,2.37,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,6,1.7,3.6,3.6,1.8,0.31,2.05,1.63,1.1,1.57,2.41,3.21,3.08,1.35,1.74,3.02,3.13,2.02,2.33,4.82,1.27,2.58,3.83,2.11,1.24,1.01,1.39,2.04,3.38,0.84,3.52,0.9,2.74,2.45,3.36,1.5,2.29,3.7,1.33,1.48,4.55,1.62,2.03,1.32,2.33,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.2,4.9,2.3,0.5,1.5,2.59,2.75,5.67,0.62,0.75,0.97,3.3,3.82,4.45,2.29,2.8,1.34,4.8,1.59,3.61,4.64,3.19,3.69,3.47,6.02,1.23,3.57,2.55,4.24,4.51,2.96,3.45,1.65,2.32,2.06,5.6,4.19,2.54,1.18,2.79,4.11,0.93,2.56,3.63,1.38,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.5,3.1,3.41,4.05,0.65,3.79,3.8,2.22,4.24,0.91,1.82,1.78,3.99,4.17,4.81,1.25,4.52,7.16,4.24,3.75,0.4,5.7,2.32,2.88,2.09,2.47,1.37,1.98,2.19,5.48,5.43,5.37,3.78,3.11,4.53,4.46,1.73,4.35,3.17,1.11,4.65,5.93,1.21,3.81,3.52,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.8,4,1.55,3.9,1.75,0.79,3.63,2.22,3.62,5.29,2.14,2.74,5.61,3.69,2.24,4.13,3.84,1.97,3.68,1.62,3.94,4.21,1.88,4.65,2.24,4.32,2.47,3.46,0.76,1.19,2.09,5.01,1.57,1.1,0.9,0.3,4.55,2.32,2.64,3.61,2.19,1.33,1.72,3.01,0.88,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,4.3,1.1,4,3.7,6.65,8.08,2.07,2.2,2.37,1.78,3.7,2.61,4.82,4.34,3.55,4.14,2.79,3.8,2.45,1.1,2.83,3.52,3.07,3.18,1.06,3.84,5.49,1.76,1.26,4.92,2.5,2.74,3.79,1.66,3.88,5.14,4.1,1.87,5.57,1.59,4.79,1.34,1.9,8.1,0.95,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
