PENRYN-ROSKROW,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW758358,Long,-5.14161,Lat,50.17971,Elevation,550,ft,,,,,,,,,,,,,
Station no,1916,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,10.23,4.37,9.06,5.3,6.92,3.54,4.96,1.83,6.98,6.39,6.33,,
February,,,,,,,,,4.48,4.03,2.98,3.51,0.07,3.89,0.32,4.85,5.92,7.98,1.83,,
March,,,,,,,,,7.9,0.74,3.68,7.18,2.89,4.33,4.83,1.07,4.62,4.23,0.6,,
April,,,,,,,,,2.68,1.7,3.37,2.5,3.3,2.54,4.23,5.61,2.59,4.3,0.02,,
May,,,,,,,,,2.01,5.19,1.88,4.48,5.26,2.77,2.23,1.41,1.41,1.71,,,
June,,,,,,,,,3.24,3.04,0.88,3.82,4,2.02,1.99,3.65,2.05,1.55,,,
July,,,,,,,,,1.87,2.25,3.76,5.76,4.42,2.99,0.82,0.51,6.18,1.3,,,
August,,,,,,,,,2.96,3.47,6.48,5.48,1.61,1.7,5.09,4.06,0.65,1.1,,,
September,,,,,,,,,2.39,0.6,6.39,4.04,5.73,2.58,3.99,4.17,3.69,3.39,,,
October,,,,,,,,,8.91,9.47,6.06,1.08,9.68,7.92,4.48,5.06,1.6,3.84,4.49,,
November,,,,,,,,,4.8,13.82,8.27,10.06,2.98,1.96,2.8,5.6,4.74,3.01,6.07,,
December,,,,,,,,,6.8,10.49,5.09,2.14,4.5,2.79,13.94,6.23,4.23,5.5,4.01,,
Total,,,,,,,,,58.27,59.17,57.9,55.35,51.36,39.03,49.68,44.05,44.66,44.3,,,
,,,,,,,,,,,,,,,,,,,,,
Unknown where this gauge was Roskrow Manor House where the observer lived has an elevation of 410ft,,,,,,,,,,,,,,,,,,,,,
The given elevation of 550ft is further up at Roskrow Wood where there is a dwelling possibly a gardeners cottage,,,,,,,,,,,,,,,,,,,,,
No distances to church or station so NGR matches elevation and is 1/4m west of Roskrow Manor House,,,,,,,,,,,,,,,,,,,,,
1936 Total has question mark beside it,,,,,,,,,,,,,,,,,,,,,
