RHUM (HARRIS),,,,,,,,,,
Grid ref,NM337958,Long,-6.384158,Lat,56.976429,Elevation,70,ft,,
Station no,5752/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,7.85,3.55,4.05
February,,,,,,,,3.45,1.6,4.05
March,,,,,,,,1.12,4.15,1.95
April,,,,,,,,3.2,3.8,4.05
May,,,,,,,,3.45,0.7,2.1
June,,,,,,,,2.55,4.75,3.7
July,,,,,,,,2,7.55,2.7
August,,,,,,,,3.95,2.75,3.3
September,,,,,,,,5.35,3.6,4.5
October,,,,,,,,6.35,7.4,1.2
November,,,,,,,4.1,4.2,7.15,7.35
December,,,,,,,7.15,4.9,12.1,8.55
Total,,,,,,,,48.37,59.1,47.5
,,,,,,,,,,
Station no,5752/5,,,,,,,,,
Midas,14172,,,,,,,,,
Hyd Stn,719560,,,,,,,,,
