CONISTON MONK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD319983,Long,-3.049863,Lat,54.37563,Elevation,305,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,11.5,15.6,6.95,16,11.05,3.75,3.08,1.05,7.21,8.62,12.22,6.72,10.73,5.77,4.48,7.46,12.71,6.03,10.31,3.45,11.39,4.72,7.93,2.27,12.3,14.03,13.31,7.54,7.14,9.66,10.73,6.65,13.86,4.22,12.81,6.18,11.41,5.02,8.14,10.24,8.44,8.79,14.06,3.2,10.8,12.05,14.39,18.33,9.22,6.54,6.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,5.89,2.57,10.34,8.65,6.2,6.93,8.63,9.08,10.89,14.21,7.91,12.77,2.79,6.08,1.21,6.46,1.45,1.37,3.78,13.78,14.07,1.75,8.36,7.44,12.45,6.65,8.6,2.77,4.09,10.2,6.38,6.82,7.2,5.33,5.54,9.56,11.43,12.98,5.66,4.66,11.96,11.65,7.9,2.15,10.29,2.21,9.47,0.41,7.38,11.42,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,7.5,2.93,8.64,5.82,5.69,6.8,4.35,11.63,8.05,3.32,7.82,9.78,8.45,3.69,5.46,6.39,8.14,5.11,2.71,4.12,5.83,8.3,12.07,13.22,4.95,6.77,0.93,5.48,5.76,10.04,7.88,6.73,4.94,9.11,6.91,6.13,4.48,3.79,12.33,8.22,9.68,4.66,1.13,4.78,3.31,8.34,11.76,11.57,5.52,3.98,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.16,2.72,2.79,4.47,4.38,5.02,2.64,4.18,3.41,7.53,3.6,1.67,4.38,4.49,3.57,2.82,3.29,3.1,4.88,2.43,1.36,2.95,5.41,3.71,4.57,8.89,12.31,6.37,5.08,3.91,3.45,7.98,8.1,3.4,4.27,2.74,4.66,5.95,5.9,2.6,8.14,2.08,5.12,8.15,2.77,2.04,3.9,8.24,1.75,3.26,6.45,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,4.31,1.44,4.45,0.85,6.49,6.34,2.87,3.18,6.92,3.82,3.2,7.86,3.83,6.48,3.06,4.28,5.07,4.86,3.18,8.94,3.73,5.84,0.4,0.71,3.63,5.42,7.11,4.47,1.99,3.75,5.63,4.5,3.94,9.26,5.54,6.59,4.05,4.03,3.99,2.45,3.91,4.35,1.55,6.3,4.53,2.25,1.95,8.95,5.55,5.03,4.02,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,5.21,1.58,6.08,5.84,5.96,4.32,6.8,5.32,8.55,7.21,5.42,1.17,3.36,3.85,0.73,2.57,1.12,7.32,2.18,5.02,2.72,5.33,2.45,4.52,8.55,5.62,2.68,7.12,4.95,1.4,3.15,3.08,1.72,3.23,11.93,4.32,2.66,3.8,6.11,6.4,7.64,1.18,2.31,6.3,3.45,3.44,3.18,3.99,0.49,3.08,1.48,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,11.13,4.79,4.26,4.12,8.59,1.32,11.73,7.42,9.11,12.26,3.87,8.53,5.87,7.62,3.34,10.3,5.21,6.14,4.03,5.34,5.72,6.07,7.55,7.23,5.21,2.44,4.7,3.13,1.84,4.77,7.02,4.99,3.84,5.47,3.43,5.61,9.45,5.55,0.88,7.3,0.98,4.21,6.48,5,2.51,5.95,2.24,9.32,4.22,8.98,6.47,8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,9.61,14.29,5.54,7.7,10.76,7.97,9.11,1.98,7.96,6.95,8.7,2.06,3.37,3.75,2.31,6.38,9.29,6.28,14.29,10.48,7.94,7.53,8.06,4.91,10.73,15.06,2.96,8.4,7.99,6.01,13.18,5.79,6.75,5.48,8.63,8.07,4.36,11.99,6.53,10.46,3.12,8.45,4.7,4.42,10.43,7.49,6.4,3.7,10.91,6.98,13.42,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,5.32,8.99,10.76,7.45,5.78,9.21,10.08,7.39,5.59,4.46,9.26,8.44,12.25,11.64,7.99,3.39,5.76,9.04,10.51,12.84,9.43,0.3,2.54,11.82,8.62,6.53,10.89,5.59,4.1,3.43,9.26,5.29,5.39,2.64,0.56,11.47,3.15,0.57,7.09,4.17,3.19,5.71,1.9,4.96,6.88,17.9,8.89,6.42,2.28,6.01,9.61,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,13.75,18.32,8.1,5.97,16.55,9.61,5.73,2.08,5.46,6.99,10.05,7.33,9.65,8.79,4.33,8.17,9.6,7.44,9.79,9.09,10.74,8.22,8.76,9.32,5.21,9.76,6.91,11.78,8.21,6.97,17.43,5.34,6.67,10.07,10.43,4.07,14.33,4.28,7.82,10.14,4.62,2.26,3.21,14.63,14.74,12.9,1.49,4.62,4.44,4.24,16.47,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
