CONISTON MONK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD316981,Long,-3.0542,Lat,54.3742,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3027/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,5.5,2.1,7.9,10.5,6,6,10.1,7.3,7,9.7,3.7,5.3,13.5,6,13.3,17.6,12,9.4,1,7.1,8.5,6.8,12.2,15.6,13.5,12.8,13.5,8,10,13.6,9.8,8.7,8.6,7.4,6.4,15.2,9.7,9.7,13.7,6,14.8,8.4,2.8,2.6,1.1,6,13,10.7,5.3,9.5,,,
February,,,,,,,,7.8,0.2,7.2,6.2,5.4,4.6,1.8,6.9,2.6,5,5,14.5,4.7,12.4,7.8,12,2.9,5.7,0,7.8,8.7,0.8,7.7,5.5,9.2,1.5,4.5,5.8,11.7,8.7,8.5,9.4,10.8,7,10.4,8.4,1.7,5,2,9.7,7.6,4.2,6.5,7.6,8.2,9.2,7.1,6.5,11.9,2.4,,,
March,,,,,,,,2.7,2.2,7.7,0.2,6.8,8.4,3.4,8.1,7,9.9,2.1,6.4,2.5,3.8,6.5,0.3,3.6,3.9,3,1.1,6.3,5.4,10.3,10.5,11.5,6,2.8,6.1,4,5.9,4.2,11.8,4.6,4.6,4.8,7.4,4.3,4.6,2.3,8.2,4.2,4.6,6.3,3.6,10.2,6.4,2.7,6.6,8.8,2,,,
April,,,,,,,,3.1,3.4,1.1,2.6,3.5,0,8.9,3.1,6.3,4,4.3,2.3,1.9,7.2,2.7,1.5,4.8,1.7,4.5,2.9,3.3,4.3,6.1,2,0.3,8.2,4.7,2.4,0.4,2.6,8.1,5.6,4.5,3.3,4.6,2.1,0.9,2.1,2.2,3.7,3.6,4.4,2,3.4,3,6.5,2.9,1.1,4,2.9,,,
May,,,,,,,,1.2,4.8,1.6,3.6,6.7,3.3,4.2,0,2,2.4,5.9,2.2,4.1,3.3,2.2,6,0.4,3.9,2.3,3.8,3.6,3.7,0.1,4.7,2.7,5,5.3,2.7,8.8,1.7,3.7,2.2,2.4,6.4,1.9,3.9,3.5,0.9,3.6,0.5,5.4,5.1,2.2,3.8,5.6,3.1,2.5,5.9,3,4.2,,,
June,,,,,,,,3.8,6.8,4,6.5,3.3,4.4,4.8,4.5,5.1,5.3,4.1,7,1.8,5.1,7.5,6,2.7,6,5.2,6.7,4.5,1.4,2.1,9.7,4,7.5,5.2,5.3,0.4,6.1,1.6,1.3,2.1,2,2.7,8,4.2,1,5,4.9,4.3,3.3,4.6,4.6,7.3,5.9,4.4,1,2.2,2.1,,,
July,,,,,,,,4.4,6.6,12.4,8.4,4,6.7,8.2,4.3,3.6,10.7,1.9,7.1,7.9,5.3,8.1,4.5,8,3.9,4.5,3.2,3,4.8,2.9,2,11.5,7,0.5,4,4,4.2,7.8,0.3,2.8,0.8,6.3,5.4,9.9,3.7,3.1,2.8,6.8,0.3,10,6.3,7.8,10.6,2.7,7.4,4.1,6.7,,,
August,,,,,,,,3.3,9,9.3,8.3,8.4,4.7,4.4,5,6.5,6.5,6.3,6.9,6.9,9.3,6.3,6.8,5.1,5.8,7.6,8,3.3,6.3,8.9,11.5,12,6.7,6.4,5,8.5,7.7,7.14,8.8,2.2,2.2,4.8,6.8,8.4,12.6,4.6,6.7,9.3,6.2,7.8,1.2,6.6,5.6,7.3,1.7,2.9,3.5,,,
September,,,,,,,,5.4,2.5,12.9,8.5,6,1.4,0.9,8.9,5.9,2.9,6.8,3.6,4.3,4.2,2.3,2.4,5.8,5.8,2.1,4.5,4.3,9.2,11.2,2.5,10,4.5,11.5,9.5,3.2,12.1,8.26,3.2,13.7,5.2,3.9,12.4,4.6,7.5,9.4,6.4,5.2,7.6,8.2,6.2,4.5,3.4,7.8,6.9,10.3,12.2,,,
October,,,,,,,,8.8,12.6,6.3,4.4,8.6,5.6,13.1,6.7,9.7,14,11.6,9.6,12,9.2,10,5.3,8.2,7.2,11,3.7,5,7.2,4,13.5,5,17.5,8.5,3.5,10.3,6.5,10.87,10.7,5.2,15,9.4,10.7,12,16.5,7.6,4.8,15.8,7.8,4.7,1.5,4.8,6.1,8.4,6,8.8,7.8,,,
