DORKING-FIR-TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ163482,Long,-0.336038,Lat,51.22116,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,7.13,1.81,3.3,0.64,1.42,1.95,3.35,3.1,2.8,4.55,2.2,1.09,1.11,3.5,2.63,0.32,2.57,3.84,2.25,0.93,2.7,0.7,3.64,4.26,1.6,1.11,2.11,5.35,1.47,6.5,1.16,2.36,1.37,2.87,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.22,2.4,4.4,3.44,3.3,2.5,5.31,2.23,4.2,0.45,0.85,0.7,3.32,0.9,0.04,1.12,4.06,2.33,0.19,0.42,3.14,1.45,3.3,5.6,1.72,1.39,2,3.46,0.9,2.93,1.88,1.27,0.76,5.1,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,3.05,0.93,0.6,1.16,2.34,1.11,1.09,2.4,1.94,1.1,1.79,2.88,2.4,2.58,1.94,1.12,0.8,1.4,2.44,3.75,5.24,1.22,0.98,0.97,2.6,2,3.64,1.74,3.61,1.8,0.85,3.16,4.5,1.65,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.61,3.33,3.4,2.14,0.35,3.67,1.51,1.55,0.87,2.22,2.08,1.48,2.94,2.73,0.75,1.22,0.09,2.65,1.7,0.73,1.76,1.18,3.08,1.02,2.36,1.18,2.27,0.73,2.18,0.57,4.6,3.15,2.44,2.02,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,3.35,3.69,4.77,0.32,1.92,1.59,2.05,0.52,4.31,3.98,1.73,1.43,3.36,1.56,2.8,1.73,0.71,2.34,0.45,0.22,1.24,3.98,1.9,1.12,0.54,2.8,3.37,1.73,1,1.48,1.89,2.95,1.81,2.38,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,2.03,1.02,4.71,3.49,1.53,2.95,2.57,1.68,2,0.81,0.86,3.92,1.04,3.35,1.4,3.32,0.94,2.72,0.4,3.28,2.36,1.74,1.57,3.06,1.83,4.33,4.83,1.09,4.94,2.51,2.63,2.43,3.17,2,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,4.51,1.25,3.73,4.57,3,3.58,2.16,1.58,0.28,3.23,0.89,5.84,1.2,4.1,3.83,1.65,3.13,5.4,5.98,1.13,1.59,0.78,1.02,1.16,2.17,1.55,3.93,0.92,0.74,0.46,1.66,2.7,3.6,3.93,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,3.87,4.45,5.69,1.27,5.43,1.88,0.73,1.85,1.38,1.3,2.86,2.19,2.77,2.99,5.19,3.75,0.48,3.06,3.11,2.1,2.78,1.1,0.89,3.53,2.01,3.77,5.69,1.77,3.08,0.67,2.89,4.58,3.05,2.98,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,3.88,1.93,1.35,3.7,5.48,2.5,2.89,4.95,2.36,6.03,1.9,3.1,1.03,1.05,1.22,1.47,2.4,1.51,2.13,0.89,9.73,3.05,0.75,3.37,1.37,2.54,0.86,4.03,1.24,2.08,0.74,0.73,1.69,3.07,0.87,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,1.7,2.66,2.85,1.27,,2.7,7.4,3.2,1.64,4.09,3.85,1.78,1.74,5.95,0.91,6.92,4.84,4.35,4.49,3.46,4.35,0.74,3.6,2.46,2.15,3.14,2.49,8.28,2.7,1.66,4.27,5.74,2.44,6.12,3.69,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
