"PETERBOROUGH, QUEEN ST.",,,,,,,,,,,,
Grid ref,TL190985,Long,-0.245556,Lat,52.571314,,,,,,,
Station no,1139,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.44,1.59,0.92,3.23,1.03,0.72,0.69,,
February,,,,0.62,2.35,0.57,1.49,1.02,1.09,0.34,,
March,,,,1.77,1.39,2.14,1.28,1.03,1.98,3.35,,
April,,,,1.56,0.58,1.29,0.47,2.70,1.99,1.33,,
May,,,,2.71,1.79,1.73,1.49,2.89,1.27,1.19,,
June,,,,2.31,0.52,2.55,2.79,1.08,1.31,2.46,,
July,,,,2.90,2.06,0.92,0.50,2.04,2.09,2.93,,
August,,,,3.53,1.92,3.19,1.97,2.19,2.30,1.91,,
September,,,,2.96,1.78,2.00,0.91,0.41,2.23,1.72,,
October,,,,5.08,0.74,1.20,3.54,2.89,1.10,2.90,,
November,,,,1.64,0.95,2.32,3.45,2.37,0.77,0.47,,
December,,,,0.87,1.45,0.56,2.20,2.61,1.04,3.52,,
Total,,,,27.39,17.12,19.39,23.32,22.26,17.89,22.81,,
Calc annual,0.00,0.00,0.00,27.39,17.12,19.39,23.32,22.26,17.89,22.81,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
