WEST CALDER (WESTWOOD),,,,,,,,,,,,,,,,,,,,
Grid ref,NT014643,Long,-3.576924,Lat,55.861763,Elevation,480,ft,,,,,,,,,,,,
Station no,5145/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,3.17,3.98,3.5,2.81,3.51,6.48,3.59,2.22,2.96,3.74,0.96,3.4,2.34,2.21,4.81,3.64,1.19,2.87
February,,,3.21,1.41,5.74,2.92,0.72,2.99,4.26,1.89,2.47,0.65,1.31,1.87,1.5,1.66,2.78,1.89,1.14,2.71
March,,,2.22,0.49,2.1,2.09,2.93,2.15,1.28,3.06,2.31,1.45,0.59,1.9,1.6,3.35,2.67,1.07,1.28,1.54
April,,,1.56,2.01,1.87,1,4.39,2.25,1.47,2.37,2.95,1.57,2.86,1.31,1.24,0.53,1.6,2.21,2.39,1.82
May,,,3.84,2.59,4.17,1.52,2.56,1.92,1.67,1.11,2.92,1.29,2.04,4.36,3.03,1.39,1.82,3.73,1.2,1.44
June,,,2.72,3.44,2.77,2.63,2.83,4.91,0.87,2.24,1.72,2.88,1.28,2.22,1.5,3.5,,3.38,2.55,1.05
July,,,1.74,2.67,3.56,3.52,2.78,2.54,1.49,3.92,3.01,2.41,3.98,1.76,2.12,4.58,3.5,5.78,3.54,2.45
August,,,4.49,3.5,2.67,3.6,0.09,7.4,3.34,3.26,4.63,3.84,1.17,5.28,1.52,6.35,4.13,4.85,0.7,3.51
September,,,3.52,4.04,5.82,5.78,1.83,3.6,1.52,5.9,2,2.48,2.52,3.64,2.07,3.61,2.27,3.71,0.74,1.98
October,,,5.3,3.77,3.96,0.75,1.24,2.11,3.1,2.29,0.79,3.39,1.69,6.43,1.85,3.18,2.8,1.85,3.72,3.22
November,,,1.36,6.96,1.3,4.64,4.53,2.87,3.25,4.05,4.74,2.34,5.23,3.14,1.22,1.21,1.99,1.58,6.38,3.37
December,,,2.68,3.87,3.75,3.57,3.35,3.18,4.52,1.47,4.39,3.02,3.99,5.06,5.14,4.77,4.16,5.08,3.68,3.88
Total,,,35.81,38.73,41.21,34.83,30.76,42.4,30.36,33.78,34.89,29.06,27.62,40.37,25.13,36.34,,38.77,28.51,29.84
