SUDBURY-ALEXANDER,,,,,,,,,,,,,,,,,,,,
Grid ref,TL875414,Long,0.73237628,Lat,52.039288,Elevation,116,ft,,,,,,,,,,,,
Station no,RR6820,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,2.75,3.13,2.75,2.24,0.93,1.48,2.79,2.16,0.88,2.06,1.14,3.54,1.79,
February,,,,,,,3.12,1.37,1.42,2.78,0.96,1.79,1.01,1.81,0.75,0.86,2.47,2.14,1.24,
March,,,,,,,1.39,2.47,1.48,2.12,1.92,1.37,3.02,1.87,0.82,0.44,3.08,2.64,1.3,
April,,,,,,,1.89,2.28,1.5,1.35,0.38,2.55,1.6,0.92,1.24,1.36,1.73,2.8,1.75,
May,,,,,,,1.89,3.12,1.31,3.1,0.69,1.1,2.66,1.56,1.45,2.44,0.67,1.73,4.04,
June,,,,,,,2.64,0.53,0.57,1.09,0.41,2.47,3.01,2.88,1.78,2.53,1.61,0.81,,
July,,,,,,,2.39,2.67,0.31,0.63,0.83,2.55,3.02,2.23,1.14,5.08,1.5,3.47,,
August,,,,,,4.89,2.52,1.91,1.88,1.48,1.55,0.93,2.18,1.65,1.08,0.37,1.48,2.73,,
September,,,,,,0.07,4.42,1.58,1.49,3.95,1.77,4.06,1.8,2.88,2.77,2.74,3.86,1.19,,
October,,,,,,5.41,0.55,1.97,1.82,2.28,2.93,0.75,3.54,2.2,2.25,3.47,0.91,1.31,,
November,,,,,,1.46,2.3,0.81,1.14,2.4,0.87,1.05,3.62,1.58,2.52,4.77,2.59,3.11,,
December,,,,,,1.28,2.4,2.49,3.78,3.97,3.53,1.56,3.32,0.41,1.52,1.23,5.3,1.72,,
Total,,,,,,,28.26,24.33,19.45,27.39,16.77,21.66,31.57,22.15,18.2,27.35,26.34,27.19,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Obs was Jospeh ALexander, Borough Treasurer and living at Wigan End, directly east of St Peter's.",,,,,,,,,,,,,,,,,,,,
