HEMSBY-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG492173,Long,1.686565,Lat,52.695983,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,0.68,1.68,1.66,1.67,,2.34,,,,,,,,3.14,1.23,1.79,,,,,,
February,,,,,,,,,,0.66,1.9,1.33,1.16,,1.37,,,,,,,,1.93,2.54,1.25,,,,,,
March,,,,,,,,,,1.96,0.81,1.69,2.56,,2.63,,,,,,,,1.25,1.08,0.48,,,,,,
April,,,,,,,,,,1.09,1.74,1.19,0.23,,0.73,,,,,,,,2.23,0.65,1.72,,,,,,
May,,,,,,,,,,1.42,3.03,0.95,0.82,,1.68,,,,,,,,0.64,0.95,3.53,,,,,,
June,,,,,,,,,,1.8,2.12,3.21,2.49,,1.59,,,,,,,,1.41,0.71,1.4,,,,,,
July,,,,,,,,,,2.66,4.78,0.66,3,,1.57,,,,,,,,5.71,0.64,2.65,,,,,,
August,,,,,,,,,,1.14,1.35,0.78,8.5,,0,,,,,,,,1.32,2.19,2.5,,,,,,
September,,,,,,,,,,3.53,1.29,0.8,1.69,,1.31,,,,,,,1.08,2.55,1.64,1.56,,,,,,
October,,,,,,,,,,2.79,1.51,3.4,1.75,,1.64,,,,,,,1.06,1.63,3.08,4.45,,,,,,
November,,,,,,,,,,1.34,4.24,3.05,2.95,,2.64,,,,,,,1.74,1.78,3.23,1.83,,,,,,
December,,,,,,,,,,4.43,3.34,3.38,2.62,,6.21,,,,,,,1.88,1.78,2.33,2.94,,,,,,
Total,,,,,,,,,,23.5,27.79,22.1,29.44,,23.71,,,,,,,,25.37,20.27,26.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914 Aug (dash=zero),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Note that July reading is questioned '?',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
