HEMSBY SCHOOL,,,,,,,,,,,,
Grid ref,TG492173,Long,1.686565,Lat,52.695983,,,,,,,
Station no,RR6644,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.68,,
February,,,,,,,,,,0.66,,
March,,,,,,,,,,1.96,,
April,,,,,,,,,,1.09,,
May,,,,,,,,,,1.42,,
June,,,,,,,,,,1.80,,
July,,,,,,,,,,2.66,,
August,,,,,,,,,,1.14,,
September,,,,,,,,,,3.53,,
October,,,,,,,,,,2.79,,
November,,,,,,,,,,1.34,,
December,,,,,,,,,,4.43,,
Total,,,,,,,,,,23.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.50,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
