WORTHING-MIX (BEDFORD ROW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ150025,Long,-0.3691194,Lat,50.810647,Elevation,17,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,2.11,2.15,3.36,5.05,2.81,2.04,3.83,0.64,6.73,1.89,2.89,0.54,1.83,1.51,2.42,3.05,1.66,5.33,,,
February,,,,,,,,,,2.54,1.78,1.58,2.07,2.69,1.07,2.17,3.18,1.66,2.11,3.83,2.83,3.51,1.43,3.16,1.23,3.59,0.53,,,
March,,,,,,,,,,1.54,2.3,0.84,2.19,1.77,0.64,0.72,2.92,2.21,1.29,0.68,1.09,2.68,1.01,0.67,1.58,2.15,2.45,,,
April,,,,,,,,,,1.09,0.18,3.96,0.51,1.02,1.45,1.37,1.97,2.07,2.48,3.02,1.88,0.66,2.24,1.48,1.29,0.84,1.6,,,
May,,,,,,,,,,4.28,0.85,0.46,2.86,1.04,0.54,0.96,0.68,1.97,2.88,2.75,0.45,1.18,1.19,2.36,0.5,3.12,4.17,,,
June,,,,,,,,,,1.42,0.22,2.62,2.15,1.58,1.99,2.67,1.46,0.82,2.73,4.52,1.44,2.76,2.53,0.93,1.62,1.41,0.62,,,
July,,,,,,,,,,0.18,1.11,2.89,1.82,1.56,0.66,2.5,0.41,2.04,0.78,3.16,3.31,1.55,2.57,2.42,2.31,0.77,2.73,,,
August,,,,,,,,,,1,2.46,1.54,1.64,1.92,1.56,1.9,4.45,2.62,4.49,5.18,2.22,4.18,2.03,0.87,1.33,0.74,1.42,,,
September,,,,,,,,,,4.39,2.06,3.07,1.66,2.43,3.63,1.9,3.86,1.18,1.98,3.52,4.71,2.43,2.69,3.73,3.74,5.4,1.15,,,
October,,,,,,,,,,1.79,4.52,1.36,4.84,3.94,3.63,6.25,0.68,3.85,3.55,0.87,6.6,2.33,8.46,2.64,1.72,3.79,3.56,,,
November,,,,,,,,,,2.35,1.31,0.62,5.88,1.75,2.07,5.55,3.57,8.19,3.13,0.76,3.62,3.65,3.81,4.27,1.07,3.27,3.57,,,
December,,,,,,,,,,3.24,3.09,1.38,4.27,0.66,2.36,0.75,6.32,2.05,2.11,0.95,4.22,2.84,2.88,1.1,4.07,1.35,4.76,,,
Total,,,,,,,,,,25.93,22.03,23.68,34.94,23.17,21.64,30.57,30.14,35.39,29.42,32.13,32.91,29.6,32.35,26.05,23.51,28.09,31.89,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 inch gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
