CARRICKFERGUS (NORTH WOODBURN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW503439,Long,-5.878673,Lat,54.728318,Elevation,735,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,5.3,2.38,3.02,3.76,3.85,1.79,3.42,3.64,3.91,3.63,2.06,1.86,2.4,4.63,4.12,2.87,2.98,6.32,3.7,2.11,5.31,2.31,3.63,2.3,2.52,1.65,5.71,6.09,2.37,3.56,3.57,3.14,3.95,4.92,4.99,5.66,4.17,4.63,4.32,3.52,6.01,3.21,6.09,2.31,4.01,4.4,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.96,1.71,0.76,3.26,2.14,0.36,1.17,4.04,4.38,1.13,2.58,3.4,3.42,3.84,4.51,1.88,3.67,3.78,5.7,2.04,2.71,2.26,2.44,3.27,5.32,3.79,5.09,1.88,4.2,4.6,4.03,2.34,4.34,2.38,2.74,1.04,4.03,5.76,1.38,5.25,5.25,2.41,3.26,3.11,0.49,3.02,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.99,1.44,5.37,3.22,3.19,2.54,0.8,1.55,2.1,5.71,3.91,5.26,1.28,2.2,0.94,2.66,3.02,5.85,2.87,3.87,2.77,4.39,4.75,4.67,2.5,1.88,5.19,3.59,4.8,1.28,2.41,2.53,1.37,4.94,2.94,2.75,1.5,1.57,2.02,1.66,1.17,2.89,4.94,0.58,2.5,1.43,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.67,2.16,1.92,4.56,2.21,2.87,1.27,1.75,2.5,3.09,1.35,3.29,4.04,4.64,4.16,2.92,2.8,2.45,3.27,2.77,2.9,3.37,3.99,6.24,3.06,3.41,1.8,4.17,1.84,2.59,4.1,1.96,2.13,1.34,3.35,1.18,3.81,4.02,3.33,4.53,3.16,2.06,1.98,1.72,1.28,2.79,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,6.03,2.32,4.93,2.72,2.61,3.73,4.9,1.79,5.05,0.55,0.98,2.11,3.7,4.84,4.11,1.92,5.05,4.07,4.07,2.32,7.21,5.32,2.93,2.23,3.31,2.65,1.99,3.88,2.01,1.58,7.84,5.58,3.07,1.58,4.33,2.67,2.04,1.94,5.33,6.89,2.6,1.68,1.47,2.98,2.03,4.6,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.53,0.66,5.6,0.7,4.45,2.32,5.34,2.8,4.41,2.25,4.54,7.13,3.54,3.85,5.43,3.99,2.74,2.85,1.98,3.18,1.35,5.07,3.86,3.47,4.13,2.5,9.07,3.19,1.71,1.92,2.99,2.81,1.88,2.64,3.9,0.47,2.55,1.08,3.69,0.62,2.37,5.06,5.65,3.45,1.96,6.55,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,4.57,3.35,10.06,3.93,4.16,2.53,2.98,3.32,4.86,3.6,8.6,2.93,1.28,3.47,4.31,1.4,4.03,5.65,3.96,1.79,4.57,3.56,4.85,4.45,5.2,2.4,4.7,2.32,3.1,6.49,2.03,2.95,4.75,0.59,3.53,4.59,4.38,3.77,5.74,3.92,4.46,4.53,2.27,3.09,5.76,4.15,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.34,3.27,3.95,8.55,3.85,7.65,7.46,5.24,3.56,4.92,2.49,6.46,5.22,1.54,6.49,4.65,4.21,5.55,6.71,9.96,5.46,4.46,3.38,2.93,7.33,2.37,8.4,1.1,5.23,6.16,2.32,5.92,4.62,4.11,3.84,4.06,4.99,7.19,5.09,2.5,4.66,3.54,4.95,6.98,7.17,4.04,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,3.82,5.54,2.13,3.51,4.06,3.43,2.61,2.72,0.31,0.49,5.37,3.5,4.88,3,2.71,4.21,5.89,3.99,5.56,2.85,1.79,1.4,4.91,3.07,1.78,2,2.11,4.68,1.49,0.99,0.96,1.58,5.21,3.51,3.62,2.13,4.67,4.72,6.08,4.2,2.65,5.05,2.21,1.12,5,2.73,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,7.06,1.85,1.54,4.69,2.7,5.61,6.07,3.52,7.55,4.6,3.87,3.14,5.36,2.12,5.02,4.27,2.46,9.13,1.6,2.95,7.51,5.75,3.79,6.79,2.83,4.88,4.53,4.44,2.5,3.85,7.85,5.63,3.6,2.33,6.99,4.54,2.02,4.25,2.62,4.25,4.88,4.01,7.88,4.44,6.11,2.28,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,4.33,3.32,7.26,2.58,11.33,4.94,4.56,2.94,2.52,4.28,1.74,3.4,4.38,3.6,7.48,5.1,5.78,4.81,4.45,5.97,4.55,4.1,3.83,1.46,5.23,5.51,3.21,4.95,5.07,2.62,4.53,5.14,4.71,2.92,4.37,5.37,2.26,2.65,3.7,1.72,5.29,5.69,6.41,5.07,4.53,7.85,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,4.91,3.02,3.76,2.6,4.07,5.41,2.7,4.6,3.14,4.06,6.9,5.18,3.7,6.69,4.27,3.92,3.7,4.95,3.16,3.28,4.68,3.96,2.79,3.75,5.63,7.79,5.73,3.77,7.85,7.4,2.85,3.47,5.33,7.43,6.78,4.16,3.91,8.63,5.19,4.08,1.57,2.8,3.77,8.76,4.54,3.27,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,48.51,31.02,50.3,44.08,48.62,43.18,43.28,37.91,44.29,38.31,44.39,47.66,43.2,44.42,53.55,39.79,46.33,59.4,47.03,43.09,50.81,45.95,45.15,44.63,48.84,40.83,57.53,44.06,42.17,43.04,45.48,43.05,44.96,38.69,51.38,38.62,40.33,50.21,48.49,43.14,44.07,42.93,50.88,43.61,45.38,47.11,38.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
