CARRICKFERGUS (NORTH WOODBURN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW503439,Long,-5.878673,Lat,54.728318,Elevation,735,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,2.2,4.31,4.58,3.46,2.52,3.52,2.08,5.59,5.72,5.04,5.08,4.24,2.38,8.02,6.95,5.37,5.32,5.89,4.98,9.19,3.36,2.15,3.69,3.58,1.52,3.96,4.91,4.23,4.72,5.03,3.09,5.39,,
February,,,,,,,,,,3.12,0.61,3.42,0.18,3.06,0.5,5.19,3.35,7.26,1.79,4.17,3.16,3.88,2.57,2.69,1.71,5.04,3.86,0.71,2.75,2.7,4.11,3.47,0.95,1.02,4.27,5.06,1.29,2.97,5.76,1.49,4.03,,
March,,,,,,,,,,0.61,2.65,1.56,2.25,2.54,2.41,1.5,3.17,3.32,1.4,5.25,5.08,3.76,3.55,1.1,0.9,1.86,2.34,6.82,2.36,3.22,2.11,3.7,2.06,0.42,4.98,1.96,1.78,4.41,3.09,3.1,3.49,,
April,,,,,,,,,,1.65,1.4,3.01,3.65,2.19,5.15,3.54,1.32,2.85,0.51,3.57,5.45,2.71,2.7,3.48,3.1,2.62,1.44,5,2.59,3.17,4.54,1.49,2.74,2.88,1.25,2.88,1.63,1.48,2.77,3.32,3.9,,
May,,,,,,,,,,3.23,2.18,4.79,2.67,3.41,4.13,1.05,2.5,1.64,3.67,1.18,1.99,3.07,4.59,6.05,2.3,5.42,1.74,4.55,2.08,2.28,1.64,3.33,1.35,2.68,5.04,3.48,1.63,3.59,3.18,1.47,2.05,,
June,,,,,,,,,,3.41,2.1,5.9,3.14,3.13,2.7,4.98,5.44,3.22,4.69,3.02,1.57,0.54,0.74,4.87,3.85,5.6,4.91,5.13,5.8,0.73,2.35,2.19,3,2.38,4.33,5.97,3.39,1.84,6.08,2.66,2.65,,
July,,,,,,,,,,3.41,5.89,4.38,4.23,4.23,2.95,1.8,8.67,4.81,4.37,5.95,5.69,5.05,4.87,2.77,5.66,5.59,4.06,5.01,3.43,2.91,6.41,3.21,2.47,6.49,4.96,1.5,4.54,4.49,6,4.25,9.6,,
August,,,,,,,,,,7.38,7.49,4.22,4.15,2.98,6.11,1.57,4.22,4.41,2.76,2.91,1.2,5.83,7.13,8.46,2.56,1.61,5.86,0.31,5.65,4.14,7.45,4.63,5.84,4.18,3.62,1.38,9.1,4.61,5.14,1.55,5.99,,
September,,,,,,,,,,1.24,5.2,2.61,4.44,1.44,6.13,4.73,4.66,3.17,3.62,3.19,2.73,2.32,6.5,4.06,6.73,4.43,7.56,3.86,5.7,3.46,7.47,3.11,2.32,3.49,5.27,5.19,4.34,7.25,5.12,1.87,3.27,,
October,,,,,,,,,,4.95,6.57,2.61,4.73,4.22,6.16,7.01,3.85,3.55,7.8,3.48,6.87,6.5,4.96,4.18,5.69,4.66,1.95,2.63,3.81,9.58,3.07,0.93,5.07,2.62,7.81,4.21,2.86,4.23,2.79,4.87,7.12,,
November,,,,,,,,,,5.56,4.8,8.21,2.67,2.28,1.64,5.77,5.12,1.61,5.11,5.84,6.84,5.13,1.06,3.08,6.01,1.92,6.74,6.43,2.81,5.1,3.39,8.52,2.32,4.24,7.12,3.46,1.94,2.66,2.06,4.03,5.86,,
December,,,,,,,,,,8.82,4.3,3.48,6.22,2.77,8.17,4.09,5.35,5.73,4.7,4.1,5.35,2.18,6.32,3.05,5.24,6.61,4.8,3.09,5.43,4.52,2.65,5.05,4.28,3.91,5.34,6.39,5.24,4.98,6.65,6.61,3.55,,
Total,,,,,,,,,,45.58,47.5,48.77,41.79,34.77,49.57,43.31,53.24,47.29,45.46,47.74,50.17,43.35,53.01,50.74,49.12,50.68,51.15,48.52,51.6,45.17,47.34,43.32,35.98,35.83,57.95,46.39,41.97,47.23,53.67,38.31,56.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures in columns 1920-28 are not recorded rainfall but workings out for previous years. Deleted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAN 1944 - INPUT DIFF CORRECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
