"CARRICKFERGUS (NORTH WOODBURN)",,,,,,,,,,,,
Grid ref,IJ367904,Long,-5.877797,Lat,54.743125,,,,,,,
Station no,6223,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.69,3.58,1.52,3.96,4.91,4.23,4.72,5.03,3.09,5.39,,
February,3.47,0.95,1.02,4.27,5.06,1.29,2.97,5.76,1.49,4.03,,
March,3.70,2.06,0.42,4.98,1.96,1.78,4.41,3.09,3.10,3.49,,
April,1.49,2.74,2.88,1.25,2.88,1.63,1.48,2.77,3.32,3.90,,
May,3.33,1.35,2.68,5.04,3.48,1.63,3.59,3.18,1.47,2.05,,
June,2.19,3.00,2.38,4.33,5.97,3.39,1.84,6.08,2.66,2.65,,
July,3.21,2.47,6.49,4.96,1.50,4.54,4.49,6.00,4.25,9.60,,
August,4.63,5.84,4.18,3.62,1.38,9.10,4.61,5.14,1.55,5.99,,
September,3.11,2.32,3.49,5.27,5.19,4.34,7.25,5.12,1.87,3.27,,
October,0.93,5.07,2.62,7.81,4.21,2.86,4.23,2.79,4.87,7.12,,
November,8.52,2.32,4.24,7.12,3.46,1.94,2.66,2.06,4.03,5.86,,
December,5.05,4.28,3.91,5.34,6.39,5.24,4.98,6.65,6.61,3.55,,
Total,43.32,35.98,35.83,57.95,46.39,41.97,47.23,53.67,38.31,56.90,,
Calc annual,43.32,35.98,35.83,57.95,46.39,41.97,47.23,53.67,38.31,56.90,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
