"FINLARIG POWER STATION, NORTH",,,,,,,,,,,,
Grid ref,NN580348,Long,-4.307480,Lat,56.483827,,,,,,,
Station no,5556/4/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.54,4.87,11.11,,2.38,4.54,,
February,,,,,,2.26,5.59,2.55,2.41,5.35,,
March,,,,,0.94,3.75,5.54,1.05,4.60,2.54,,
April,,,,,2.40,1.89,2.21,2.13,4.89,6.71,,
May,,,,,3.32,4.02,2.23,4.24,1.87,3.75,,
June,,,,,2.23,3.61,2.46,3.32,2.79,2.40,,
July,,,,,0.67,5.38,4.37,5.65,4.32,3.34,,
August,,,,,1.27,5.81,5.10,7.53,3.14,4.47,,
September,,,,,4.63,7.18,3.11,6.17,1.01,3.53,,
October,,,,,4.30,4.60,5.74,4.88,7.14,4.67,,
November,,,,15.77,2.90,3.37,,1.27,7.59,6.70,,
December,,,,14.60,13.18,9.44,,7.95,9.39,6.49,,
Total,,,,,,56.18,,,51.53,54.49,,
Calc annual,0.00,0.00,0.00,30.37,39.38,56.18,47.46,46.74,51.53,54.49,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,0.00,-0.00,,
