WAREHAM STOBOROUGH KINGS BARROW,,,,,,,,,,,,
Grid ref,SY920858,Long,-2.114572,Lat,50.671808,,,,,,,
Station no,1569,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.99,7.67,,1.16,0.82,,
February,,,,,,0.65,3.90,,1.41,0.35,,
March,,,,,,5.58,0.95,,3.04,5.28,,
April,,,,,,1.54,1.10,,1.90,1.06,,
May,,,,,,0.55,2.83,,2.47,1.90,,
June,,,,,,2.79,1.40,,0.37,3.15,,
July,,,,,,0.41,0.92,,1.67,2.65,,
August,,,,,,2.89,0.59,,2.74,3.33,,
September,,,,,,2.57,0.70,,1.92,2.93,,
October,,,,,,2.42,6.35,,2.90,7.28,,
November,,,,,,6.00,4.84,,0.92,0.87,,
December,,,,,,0.75,1.72,,3.68,4.61,,
Total,,,,,,27.14,32.97,,24.18,34.23,,
Calc annual,0.00,0.00,0.00,0.00,0.00,27.14,32.97,0.00,24.18,34.23,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,0.00,-0.00,,
