"PEMBRIDGE BURTON COURT",,,,,,,,,,,,
Grid ref,SO422572,Long,-2.847310,Lat,52.209974,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.69,4.38,1.42,0.63,0.98,,
February,,,,,,0.70,1.63,1.04,1.11,0.48,,
March,,,,,,3.51,1.21,0.83,2.97,2.85,,
April,,,,,,1.94,0.71,1.61,3.10,1.71,,
May,,,,,,0.82,1.94,3.23,1.77,0.93,,
June,,,,,,1.78,2.12,2.16,1.56,2.46,,
July,,,,,,2.02,0.54,3.45,2.01,2.71,,
August,,,,,,4.55,1.62,2.16,3.11,1.48,,
September,,,,,,1.01,0.84,0.48,3.07,2.83,,
October,,,,,,1.47,4.52,7.50,1.85,3.85,,
November,,,,,,2.83,2.88,2.76,1.77,0.76,,
December,,,,,,0.84,1.87,2.68,2.87,4.46,,
Total,,,,38.70,-999.00,22.16,24.26,29.32,25.82,25.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,22.16,24.26,29.32,25.82,25.50,,
Difference,NaN,NaN,NaN,38.70,-999.00,0.00,0.00,0.00,-0.00,-0.00,,
