PEMBRIDGE BURTON COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO422572,Long,-2.84731,Lat,52.209974,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,0.69,4.38,1.42,0.63,0.98,2.46,0.56,4.39,3.36,0.82,2.54,1.26,1.1,3.06,3.08,2.98,2.79,3.71,1.18,3.51,2.39,3.6,3.23,4.49,1.16,5.16,2.42,3.4,2.16,3.1,1.06,4.76,3.93,3.64,4.92,3.43,4.55,2.73,5.89,1.97,1.73,3.29,2.48,5.81,,,,
February,,,,,,0.7,1.63,1.04,1.11,0.48,3.35,1.53,1.91,1.58,3.26,5.17,4.54,1.01,1.4,2.79,1.19,0.32,3.47,6.66,0.31,3.67,2.28,2.48,1.97,0.8,0.62,2.09,0.11,3.51,0.29,2.72,1.97,5.42,0.77,1.69,2.87,2.61,0.62,1.57,0.75,2.44,2.88,1.41,1.9,,,,
March,,,,,,3.51,1.21,0.83,2.97,2.85,0.72,1.48,4.36,5.32,2.74,0.57,3.83,3.05,1.92,4.75,2.78,1.79,2.65,1.26,1.39,0.71,0.49,2.68,2.87,0.17,2.4,0.87,1.89,2.46,2.05,0.98,2.55,2.49,0.2,1.21,1.69,2.79,2.59,1.07,0.45,1.32,0.99,6.26,1.34,,,,
April,,,,,,1.94,0.71,1.61,3.1,1.71,2.24,1.44,0.21,4.5,1.21,1.01,0.93,1.97,2.36,1.78,5.21,0.94,2.25,2.25,2.84,2.1,2.96,1.79,1.56,0.83,3.11,3.22,3.26,0.88,2.61,4.64,2.26,1.86,0.17,1.7,2.43,1.26,1.72,1.14,1.54,0.91,2.21,2.1,1.9,,,,
May,,,,,,0.82,1.94,3.23,1.77,0.93,2.27,2.64,1.8,2.42,1.4,3.9,3.71,3.24,2.65,0.51,2.27,1.29,0.87,1.68,3.82,4.08,2.23,1.34,0.9,2.93,2.26,5.43,5.58,1.65,1.79,1.06,1.16,1.79,2.1,0.72,2.06,2.67,3.36,2.81,0.9,3.25,3.39,2.76,3.25,,,,
June,,,,,,1.78,2.12,2.16,1.56,2.46,3.89,2.78,4.67,0.92,1.82,0.91,1.43,3.43,0.75,0.85,2.58,0.45,1.01,0.49,3.93,0.03,1.41,3.49,3.38,2.98,1.21,4.72,0.88,2.06,1.54,3.46,3.99,0.95,2.17,1.82,1.24,2.3,0.27,1.8,1.7,3.7,2.28,1.92,2.66,,,,
July,,,,,,2.02,0.54,3.45,2.01,2.71,1.76,0.76,3.22,0.66,4.22,5.34,1.82,2.68,3.81,2.29,4.46,0.65,3.39,2.2,4.52,2.5,2.13,2.44,1.3,1.87,2.74,3.55,2.55,1.6,1.95,0.49,4.94,3.09,2.44,5.17,3.26,2.49,1.26,1.49,1.47,2.65,2.24,3.08,1.09,,,,
August,,,,,,4.55,1.62,2.16,3.11,1.48,5.18,0.99,7.24,1.12,3.22,3.09,2.08,7.66,1.7,3.15,1.41,2.76,3.14,3.36,2.64,3.75,2.35,6.02,2.69,1.38,3.48,4.74,3.89,1.13,2.26,1.52,0.44,1.59,3.34,2.16,0.11,3.77,2.89,2.39,3.9,3.92,6.77,0.7,4.78,,,,
September,,,,,,1.01,0.84,0.48,3.07,2.83,0.68,1.63,0.91,3.15,1.21,0.82,0.64,1.89,6.1,2.15,2.14,1.64,2.43,1.89,4.1,3.97,1.09,3.6,1.42,1.58,3.59,1.96,2.6,1.04,1.84,3.66,2.84,2.22,1.61,0.9,0.89,1.03,1.87,2.21,2.34,2.21,4.57,1.51,3.16,,,,
October,,,,,,1.47,4.52,7.5,1.85,3.85,3.48,1.86,3.18,4.34,1.98,4.23,5.13,2.72,1.43,1.52,3.42,2.18,0.75,4.41,4.46,3.4,2.7,2.3,4.64,4.83,2.88,0.83,4.93,6.38,1.41,3.13,1.49,4.31,3.72,3.43,4.02,2.57,1.95,3.05,3.31,4.13,1.18,0.73,2.45,,,,
