BURNHAM-MARKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF833422,Long,0.726665,Lat,52.945872,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1448/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.25,0.77,2.82,,,,,,,,,,,,2.59,,,,,3.61,2.24,2.56,2.29,1.6,4.43,1.05,0.93,2.91,2.85,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.12,2.3,1.48,,,,,,,,,,,,0.72,,,,,0.59,1.59,2.04,2.33,3.52,0.9,0.94,3.25,2.22,1.14,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.33,1.02,0.25,,,,,,,,,,,,0.29,,,,,0.4,0.58,1.53,0.83,4.67,0.76,1.05,0.4,3.53,2.23,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.68,2.41,1.93,,,,,,,,,,,,0.35,,,,,0.88,1.45,1.8,0.74,2.2,1.19,2.26,2.08,2.94,1.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,3.48,2.36,2.21,,,,,,,,,,,,1.77,,,,,2.01,1.39,1.78,1.43,0.24,3.35,2.04,2.03,3.81,2.28,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,0.88,0.36,2.45,,,,,,,,,,,,1.27,,,,,1.49,2.39,1.73,2.02,1.66,2.61,0.92,2.9,1.31,0.84,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,1.77,1.13,1.06,,,,,,,,,,,,1.87,,,,,0.99,2.32,1.68,4.45,1.29,1.76,1.46,2.99,1.61,0.92,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.89,1.57,1.2,,,,,,,,,,,,1.44,,,,,1.25,1.26,3.84,2.54,0.11,2.64,1.39,2.97,3.41,2.07,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.9,3.52,0.64,,,,,,,,,,,,2.72,,,,,1.8,3.79,1.89,2.93,1.01,1.6,1.01,2.9,2.59,2.85,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,4.24,1.9,2.18,,,,,,,,,,,,2.71,,,,,1.55,3.26,2.16,1.78,0.21,2.52,3.58,1.02,0.7,1.84,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
