SOUTH-BRENT-BALA-BROOK-(BRENT-MOOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX671629,Long,-3.873336,Lat,50.450844,Elevation,850,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1678/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,11.04,2.44,13.07,13.3,15.6,14.91,6.01,8.15,11.82,16.7,11.41,6.6,11.45,7.94,19.83,4.19,3.99,11.35,9.25,2.61,4.03,,,,,,
February,,,,0.37,9.96,7.71,15.14,4.21,6.74,11.47,10.19,1.02,5.15,3.22,10.08,8.78,3.36,5.19,4.76,14.02,9.31,1.56,3.74,8.35,,,,,,
March,,,,7.09,3.21,9.02,8.15,1.26,2.94,7,7.96,8.61,2.65,0.39,4.75,5.36,18.11,5.37,3.32,7.44,10.66,8.86,1.41,7.56,,,,,,
April,,,,6.93,10.68,5.67,7.82,0.3,5.33,4.24,1.97,3.91,3.22,5.48,2.73,4.19,7.04,4.64,4.45,5.11,6.38,7.51,5.12,1.95,,,,,,
May,,,,3.18,3.61,1.23,5.19,7.62,1.34,2.64,5.55,11.28,8.47,1.52,5.55,7.3,3.67,4.31,6.07,3.64,3.66,4.56,7.37,5.64,,,,,,
June,,,,3.86,9.32,2.51,2.07,3.94,7.78,1.62,3.47,0.52,3.94,7.21,9.14,9.52,6.3,5.26,1.83,2.59,2.62,4.24,5.89,7.4,,,,,,
July,,,,1.83,1.42,12.69,4.82,7.31,14.14,4.8,3.22,4.63,7.1,7.83,5.3,3.74,6.4,4.73,3.93,10.32,2.87,3.2,9.73,8.61,,,,,,
August,,,,9.3,4.34,2.09,1.86,8.32,7.7,0.58,8.08,8.62,7.6,5.46,5.07,11.16,2.07,7.63,3.97,11,14.57,8.95,6.12,6.23,,,,,,
September,,,,9.08,10.9,6.84,4.95,4.37,1.13,3.51,0.59,7.05,7.39,5.34,7.8,15.05,4.28,6.88,6.39,13.32,9.44,7.08,7.07,10.15,,,,,,
October,,,,8.59,10.62,4.07,5.08,13.32,9.51,9.02,4.76,7.6,7.67,10.44,8.98,4.31,2.91,7.99,13.66,4.1,1.96,11.17,5.47,9.32,,,,,,
November,,,,3.74,13.12,7.13,6.9,15.37,20.28,18.48,5.75,1.99,6.57,18.44,1.56,18.95,9.53,4.9,10.44,15.51,14.1,8.48,6.55,15.6,,,,,,
December,,,,28.88,10.12,11.73,8.73,9.75,6.85,10.45,9.14,13.48,6.75,7.71,12.44,11.29,8,13.18,7.55,8.5,9.97,7.72,1.74,9.55,,,,,,
Total,,,,93.89,89.74,83.76,84.01,91.37,98.65,79.82,68.83,80.53,83.21,84.45,80,111.1,79.61,89.91,70.56,99.54,96.89,82.58,62.82,94.39,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge on open moorland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Feb adjusted for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Sept 29th Readings now taken from Snowden gauge which will be used throughout 1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There are conflicting notes as to whether the Snowdon gauge was used 1941-1949 or whether it was always the autographic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Not printed Readings from the old autographic gauge which was moved to beside the Snowdon gauge at Bala Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The engineer intends to discontinue these comparative readings between the two sites after 1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
