"SOUTH BRENT (BALA BROOK)",,,,,,,,,,,,
Grid ref,SX675627,Long,-3.867634,Lat,50.449137,,,,,,,
Station no,1678/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,3.98,9.69,5.71,11.34,10.70,15.73,8.77,,
February,,,,8.80,7.01,0.69,10.97,7.88,0.60,9.36,,
March,,,,7.43,2.69,2.93,11.32,4.62,10.36,5.93,,
April,,,,1.92,3.27,1.95,0.95,2.20,8.26,7.29,,
May,,,,5.97,8.79,2.21,4.92,6.30,2.19,2.17,,
June,,,,7.50,6.22,5.15,3.32,5.69,3.38,3.22,,
July,,,,8.63,2.29,6.82,8.66,6.98,2.24,8.84,,
August,,,,6.16,0.91,7.76,7.25,10.09,3.24,6.90,,
September,,,,10.14,3.33,13.01,10.37,10.70,0.48,11.51,,
October,,,,10.50,4.75,5.17,7.98,8.73,8.53,12.83,,
November,,,,15.78,8.89,3.14,3.39,6.42,15.56,15.77,,
December,,,,9.44,13.91,10.94,7.93,8.51,19.44,9.76,,
Total,,,,96.25,71.75,65.48,88.40,88.82,90.01,102.35,,
Calc annual,0.00,0.00,0.00,96.25,71.75,65.48,88.40,88.82,90.01,102.35,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
