"SOUTH BRENT (BRENT MOOR)",,,,,,,,,,,,
Grid ref,SX671629,Long,-3.873336,Lat,50.450844,,,,,,,
Station no,1678/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.35,9.25,2.61,4.03,,,,,,,,
February,9.31,1.56,3.74,8.35,,,,,,,,
March,10.66,8.86,1.41,7.56,,,,,,,,
April,6.38,7.51,5.12,1.95,,,,,,,,
May,3.66,4.56,7.37,5.64,,,,,,,,
June,2.62,4.24,5.89,7.40,,,,,,,,
July,2.87,3.20,9.73,8.61,,,,,,,,
August,14.57,8.95,6.12,6.23,,,,,,,,
September,9.44,7.08,7.07,10.15,,,,,,,,
October,1.96,11.17,5.47,9.32,,,,,,,,
November,14.10,8.48,6.55,15.60,,,,,,,,
December,9.97,7.72,1.74,9.55,,,,,,,,
Total,96.89,82.58,62.82,94.39,,,,,,,,
Calc annual,96.89,82.58,62.82,94.39,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
