SOUTH-BRENT-BALA-BROOK,,,,,,,,,,
Grid ref,SX675627,Long,-3.867634,Lat,50.449137,Elevation,760,ft,,
Station no,1678/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.98,9.69,5.71,11.34,10.7,15.73,8.77
February,,,,8.8,7.01,0.69,10.97,7.88,0.6,9.36
March,,,,7.43,2.69,2.93,11.32,4.62,10.36,5.93
April,,,,1.92,3.27,1.95,0.95,2.2,8.26,7.29
May,,,,5.97,8.79,2.21,4.92,6.3,2.19,2.17
June,,,,7.5,6.22,5.15,3.32,5.69,3.38,3.22
July,,,,8.63,2.29,6.82,8.66,6.98,2.24,8.84
August,,,,6.16,0.91,7.76,7.25,10.09,3.24,6.9
September,,,,10.14,3.33,13.01,10.37,10.7,0.48,11.51
October,,,,10.5,4.75,5.17,7.98,8.73,8.53,12.83
November,,,,15.78,8.89,3.14,3.39,6.42,15.56,15.77
December,,,,9.44,13.91,10.94,7.93,8.51,19.44,9.76
Total,,,,96.25,71.75,65.48,88.4,88.82,90.01,102.35
,,,,,,,,,,
1954 Jan Gauge installed at site. At same time autographic gauge from site 671629 was installed alongside,,,,,,,,,,
1959 Mar Inspection Exposure satisfactory Observer has no time to melt snow,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as BALA BROOK SRC_ID 8489,,,,,,,,,,
1954-1999,,,,,,,,,,
